"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA RADIKALNA STRANKA ""9. JANUAR""","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SRPSKA NAPREDNA STRANKA","NARODNI DEMOKRATSKI POKRET","UJEDINJENA SRPSKA","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","POVRATAK OTPISANIH","RADIKALNO ZA NAROD-SRS RS-SRS-SNAGA NARODA"
013B001,81,0,38,2,16,20,22,161,9,1,27,25,13,0,3,21
013B002,47,0,15,2,18,7,8,106,2,0,21,30,10,0,0,37
013B003,53,1,35,19,3,12,18,104,6,0,9,31,22,0,4,14
013B004,87,0,35,13,1,5,21,124,6,0,20,31,10,0,2,35
013B005,67,0,29,6,4,8,20,107,7,0,24,34,17,0,11,21
013B006,78,0,25,1,0,14,22,72,3,0,17,63,24,0,27,11
013B007,93,0,31,6,1,5,29,121,1,0,14,34,5,0,9,15
013B008,106,0,39,52,5,23,20,132,13,0,34,53,10,0,4,19
013B009,204,0,9,0,2,3,9,110,21,0,4,21,4,0,0,25
013B010,168,1,11,0,4,2,6,102,38,0,16,18,9,0,0,85
013B011,189,0,18,0,5,6,12,93,30,0,7,10,10,1,0,42
013B012A,114,0,21,2,0,12,11,78,14,0,26,34,24,0,0,12
013B012B,69,0,0,0,2,6,7,101,6,0,10,36,8,0,0,12
013B013,70,0,19,0,1,8,13,44,4,0,8,14,8,0,3,20
013B014,61,0,5,0,10,19,20,84,1,0,12,18,1,0,0,5
013B015,92,0,10,1,0,72,34,128,2,0,20,10,0,0,0,4
013B016,3,1,2,122,1,1,1,3,3,0,1,4,0,0,37,0
013B017,139,0,19,0,3,18,14,136,6,0,14,37,4,0,2,12
013B018,50,0,9,0,4,3,4,70,10,0,2,126,8,0,2,25
013B019,61,0,13,0,2,0,0,94,9,0,5,66,1,1,2,21
013B020,82,0,4,0,2,14,4,234,57,0,2,14,2,0,2,20
013B021,222,0,4,0,1,2,0,190,31,0,3,7,2,0,0,28
013B022,130,0,34,5,8,10,41,155,12,2,25,50,12,0,4,28
013B023,76,0,8,0,0,2,4,134,13,0,0,115,2,0,3,50
013B024,40,0,15,0,0,7,13,87,24,0,0,18,9,1,2,6
013B025,204,0,8,0,0,11,20,188,26,0,0,39,19,0,1,7
013B026A,66,0,4,0,2,44,1,87,2,0,1,7,7,0,1,0
013B026B,126,0,3,0,0,54,6,175,16,0,0,10,6,0,0,1
013B027,5,0,0,0,0,0,2,8,4,0,1,4,2,0,0,1
013B028,44,0,7,0,3,11,29,164,1,0,0,32,17,0,1,0
013B029,89,0,24,0,1,10,6,140,4,0,5,19,119,0,1,8
013B030,24,0,2,0,1,2,30,64,8,0,29,5,17,0,0,6
013B031,69,0,11,2,13,5,24,204,12,0,15,33,15,0,4,18
013B032,112,0,29,0,6,7,17,148,6,0,13,12,0,0,2,9
013B033A,0,0,1,68,0,0,8,1,1,0,0,2,0,0,30,0
013B033B,12,0,2,85,1,1,8,12,4,0,2,1,1,0,42,2
013B033C,5,0,0,71,0,0,6,5,5,0,3,6,0,0,29,2
013B034,200,0,19,0,1,9,52,115,3,0,8,102,2,0,1,10
013B035,113,0,19,0,1,4,94,148,4,0,1,20,0,0,1,9
013B036,71,0,7,0,1,7,20,210,3,0,3,71,5,0,3,4
013B037,143,0,17,0,0,0,40,210,7,0,2,5,0,0,0,52
013B038A,243,1,42,0,5,6,7,68,4,0,39,20,11,0,0,9
013B038B,136,1,49,0,8,1,8,35,2,0,39,20,4,0,1,0
013B039,34,0,6,0,0,20,33,43,0,0,4,31,0,0,0,3
013B040,93,0,27,0,0,9,35,68,0,0,4,13,0,0,0,1
013B041,85,0,4,0,3,5,9,25,0,0,7,17,0,0,2,0
013B042,182,0,15,0,0,0,5,57,3,0,49,8,1,0,0,17
013B043,197,0,3,0,0,22,1,23,3,0,0,5,0,0,1,8
013B044,221,0,18,0,1,5,5,160,15,0,8,35,7,0,13,7
013B045,81,1,13,0,3,19,10,60,4,0,8,22,31,0,3,5
013B046,99,0,14,7,3,17,27,120,8,1,14,32,12,0,1,12
013B047,64,0,23,5,2,0,9,148,4,0,18,14,18,0,4,13
013B048,47,0,6,46,1,5,12,97,5,0,10,39,4,0,7,10
013B049,56,0,46,7,3,22,19,116,18,0,26,48,35,0,1,41
013B050,51,0,11,17,4,18,14,83,6,0,19,22,10,1,0,12
013B051,40,0,36,27,6,6,17,116,17,0,16,22,8,2,9,13
Ukupno,5294,6,914,566,162,599,927,5868,523,4,665,1615,566,6,275,848
