"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","HRVATSKI NARODNI SAVEZ BIH","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","SRPSKA NAPREDNA STRANKA",NS,"NARODNI DEMOKRATSKI POKRET","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","UJEDINJENA SRPSKA","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","ZLATKO TOLIĆ - NEZAVISNI KANDIDAT"
014B001,6,128,0,0,34,0,44,20,140,1,10,4,16,3,32,0,0
014B002,29,81,0,0,50,2,27,18,112,0,10,0,21,0,36,0,0
014B003,2,68,0,0,24,0,95,26,210,1,33,0,26,1,43,0,0
014B004,17,87,1,0,18,3,71,19,139,1,15,0,37,0,21,0,1
014B005,10,69,0,0,29,1,61,28,211,0,4,0,24,0,18,0,0
014B006,4,47,0,0,25,0,19,9,101,0,2,5,9,0,25,0,0
014B007,16,91,1,0,34,3,65,21,186,0,12,0,33,0,13,0,0
014B008,15,56,0,0,10,4,66,25,102,0,7,2,20,0,15,0,0
014B009,15,91,1,0,32,7,35,13,143,0,6,2,37,0,17,0,0
014B010,8,68,0,0,27,0,44,25,135,0,24,1,30,0,25,0,0
014B011,0,50,2,0,12,2,4,6,72,0,5,0,75,0,29,0,0
014B012,0,34,0,0,23,3,13,15,109,0,40,0,47,0,11,0,0
014B013A,2,78,0,0,25,0,14,22,88,0,10,2,57,0,26,0,0
014B013B,0,80,3,0,24,2,23,6,121,0,9,1,47,0,24,0,0
014B014,1,116,0,0,12,0,93,17,106,0,1,0,22,1,6,0,0
014B015,4,106,1,0,20,0,25,47,231,1,30,1,16,0,28,0,0
014B016,0,101,0,0,9,0,25,23,120,0,7,4,20,0,88,0,0
014B017,1,65,0,0,10,0,16,21,113,0,12,0,16,0,50,0,0
014B018,0,59,0,0,8,0,14,107,87,0,13,0,19,0,157,0,0
014B019,37,43,0,0,9,0,28,33,126,0,12,0,16,1,47,0,0
014B020A,0,99,0,0,60,0,53,6,113,0,11,0,14,0,52,0,0
014B020B,0,101,1,0,29,0,40,19,160,0,13,0,18,0,37,0,0
014B021,1,113,0,0,13,0,43,19,232,0,21,5,60,0,32,0,0
014B022,0,22,11,0,0,124,0,0,54,0,0,0,0,0,0,0,0
014B023A,1,85,0,0,18,1,42,21,56,0,24,0,21,0,32,1,0
014B023B,0,106,0,0,7,0,21,14,73,0,32,0,50,0,40,1,0
014B024,1,116,0,0,26,1,7,20,117,0,9,4,14,0,171,0,0
014B025,0,101,0,0,73,0,83,2,66,0,4,0,10,0,45,0,0
014B026,0,214,2,0,5,0,12,5,59,0,9,0,5,1,11,0,0
014B027A,0,162,0,0,21,2,22,64,60,0,10,1,20,0,14,0,0
014B027B,0,105,0,0,15,0,22,38,25,0,6,1,7,0,14,0,0
014B028,3,87,20,0,12,6,98,12,64,0,8,0,11,0,5,0,0
014B029,0,21,0,0,9,2,2,15,22,0,8,0,0,0,0,0,0
014B030,0,16,4,0,7,2,45,25,24,0,6,0,3,0,16,0,2
014B031,8,37,2,0,13,3,41,10,42,0,14,0,44,0,8,0,0
014B032,14,6,2,1,17,7,2,1,20,0,0,0,2,1,2,0,0
014B033,0,41,0,0,3,1,21,11,113,0,3,0,21,0,10,0,0
014B034,1,1,52,0,1,12,1,3,1,0,0,0,0,0,1,0,0
014B035,5,100,1,0,13,4,30,17,92,0,15,1,25,1,13,0,0
014B036,4,69,1,0,21,2,30,13,170,0,14,2,23,0,30,1,0
014B037,41,56,1,0,13,5,19,15,112,0,4,3,10,1,9,0,0
014B038,10,57,0,0,12,0,23,6,114,0,7,0,36,0,19,0,0
014B039,20,10,14,0,0,16,0,0,0,0,0,0,0,0,0,0,0
014B040,46,4,0,0,8,1,7,2,11,0,0,0,7,3,3,0,0
014B041,0,16,12,0,9,6,9,2,17,0,3,0,1,1,2,0,0
014B042,1,0,13,0,0,20,4,3,4,0,0,0,0,0,3,0,0
Ukupno,323,3263,145,1,840,242,1459,844,4473,4,483,39,990,14,1280,3,3
