"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","HRVATSKI NARODNI SAVEZ BIH","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","NARODNA STRANKA RADOM ZA BOLJITAK","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","POSAVSKA STRANKA",NS,"SRS-SRPSKA U SIGURNE RUKE","UJEDINJENA SRPSKA","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","DRAGOSLAV IVANOVIĆ - NEZAVISNI KANDIDAT"
016B001,15,17,78,1,32,1,1,40,38,6,80,0,5,2,4,3,0,1
016B002,2,30,66,2,25,1,0,58,51,19,86,0,0,8,1,3,0,3
016B003,7,21,68,1,48,0,0,48,47,20,98,0,0,31,2,11,0,3
016B004,10,9,84,0,39,2,0,44,51,12,92,0,3,5,3,7,0,3
016B005,25,7,33,1,51,2,1,35,29,10,59,0,0,9,6,3,0,3
016B006,9,2,72,0,40,0,0,38,57,18,72,0,0,11,5,10,0,1
016B007,1,14,96,0,43,1,0,70,49,13,101,0,0,27,7,26,0,4
016B008,0,42,103,0,32,0,0,62,74,21,141,0,0,24,7,12,0,8
016B009,0,9,100,0,82,5,0,27,112,26,126,0,0,5,4,11,0,12
016B010,0,7,41,2,19,0,0,57,10,22,42,0,0,5,7,1,0,6
016B011,0,2,15,6,1,0,0,10,6,3,34,0,0,11,0,15,0,3
016B012,1,7,69,0,23,1,0,29,26,16,85,1,0,7,3,5,0,4
016B013,0,3,95,1,14,0,0,27,33,15,185,0,0,4,4,2,0,9
016B014,0,9,29,0,42,1,0,22,36,5,100,0,0,1,0,5,0,12
016B015,1,12,62,2,12,0,0,79,59,16,144,0,0,6,35,4,0,13
016B016,22,30,25,9,31,0,0,26,14,14,57,0,3,8,0,1,0,4
016B017,2,17,136,0,14,0,1,53,18,7,59,1,0,8,1,0,0,4
016B018,0,7,19,1,8,0,0,44,10,11,37,0,9,9,0,2,0,2
016B019,126,1,8,15,4,0,0,2,6,17,8,0,6,0,0,0,0,0
016B020,16,12,21,4,17,0,0,7,20,10,29,1,0,8,4,5,0,0
016B021,2,11,69,0,54,1,0,62,77,18,111,0,0,31,2,20,0,8
016B022,6,27,27,4,20,1,0,46,30,7,59,0,2,8,9,1,0,11
016B023,0,5,44,1,17,0,0,28,50,12,59,0,0,2,12,3,0,0
016B024,1,7,1,15,2,0,0,4,2,0,2,0,2,3,0,0,0,0
016B025,1,17,21,1,5,0,0,15,14,7,31,0,1,1,1,3,0,2
Ukupno,247,325,1382,66,675,16,3,933,919,325,1897,3,31,234,117,153,0,116
