"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","SBB - FAHRUDIN RADONČIĆ","POSAVSKA STRANKA","HRVATSKA STRANKA PRAVA HERCEG-BOSNE","DEMOKRATSKA FRONTA","MUJO PUZIĆ - NEZAVISNI KANDIDAT"
017A001,0,0,222,0,3,25,0,21,32,0,0
017A002,2,79,15,132,2,2,44,7,0,21,24
017A003,1,52,7,159,0,4,20,7,1,27,14
017A004,1,58,58,56,9,20,20,12,0,15,7
017A005,0,2,173,0,8,53,0,0,1,0,0
017A006,1,5,209,1,0,38,0,23,4,0,1
017A007,0,0,98,0,24,47,0,7,0,0,0
017A008,0,0,126,0,11,47,1,2,1,1,0
017A009,0,1,193,0,17,27,0,2,6,1,1
017A010A,1,40,2,133,0,0,9,9,0,14,27
017A010B,0,26,0,92,0,0,11,0,0,9,24
017A011,5,79,19,108,1,6,23,13,0,25,47
017A012,2,76,21,157,1,0,45,8,1,31,12
017A013,8,61,19,129,2,4,14,3,0,17,28
017A014,0,0,104,1,9,37,2,3,1,0,0
017A015,0,3,100,3,1,153,1,4,1,0,5
017A016,0,0,93,0,14,17,0,1,3,0,0
017A017,0,0,174,2,6,24,0,1,4,0,0
017A018,0,0,81,0,7,116,0,13,2,0,0
017A019,0,36,183,36,9,26,5,15,6,7,10
017A020,0,2,190,0,2,40,0,26,7,0,0
017A021,0,9,61,1,2,13,7,5,4,11,1
017A022,2,58,21,77,1,3,13,7,0,12,21
Ukupno,23,587,2169,1087,129,702,215,189,74,191,222
