"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE","NEZAVISNA STRANKA DR. MIHAJLO TOVIRAC","SBB - FAHRUDIN RADONČIĆ","SRPSKA NAPREDNA STRANKA","NARODNI DEMOKRATSKI POKRET","HRVATSKA KOALICIJA - HDZ BIH - HDZ 1990"
021B001A,26,13,37,9,15,24,0,7,7,1,21,8
021B001B,14,13,10,9,10,61,0,4,4,0,26,2
021B002,49,50,29,27,27,78,2,24,15,1,46,13
021B003,40,43,14,8,30,74,0,17,1,0,71,11
021B004,77,28,2,49,47,127,0,34,3,0,89,4
021B005,85,7,0,6,48,125,0,4,3,0,71,0
021B006,97,44,2,10,20,125,0,34,2,1,64,1
021B007,29,1,0,1,20,16,7,4,0,0,6,66
021B008,79,29,0,3,35,75,5,8,0,1,97,2
021B009A,92,10,0,7,54,81,0,9,0,2,139,1
021B009B,40,2,0,0,43,24,0,3,0,0,106,0
021B010,94,3,1,2,26,39,6,14,0,0,72,19
021B011,63,15,0,0,117,36,0,10,0,1,54,0
021B012,26,4,0,6,14,36,0,0,0,0,26,0
021B013A,91,23,0,21,116,99,0,2,0,0,66,0
021B013B,48,7,1,14,124,67,1,1,0,1,54,0
021B013C,40,15,0,17,111,88,1,4,0,0,32,0
021B014,60,6,1,9,21,55,2,12,2,8,72,24
021B015,111,21,0,8,39,144,7,48,4,2,110,10
021B016,45,10,0,8,114,154,0,11,0,0,41,0
021B017,18,0,0,2,13,77,0,9,0,0,25,0
021B018,64,13,0,2,7,28,1,6,0,1,20,36
021B019,31,4,0,1,28,17,0,6,0,1,56,22
021B020,33,10,0,6,51,34,0,2,0,0,28,0
021B021,38,30,31,7,27,71,0,9,8,0,34,6
021B022,77,54,11,11,27,119,0,9,6,2,49,11
021B023,152,7,0,3,14,37,0,16,1,0,13,0
021B024,34,33,32,9,20,58,0,12,21,0,33,10
021B025,61,16,1,2,34,133,0,13,0,0,53,3
Ukupno,1714,511,172,257,1252,2102,32,332,77,22,1574,249
