"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE","SBB - FAHRUDIN RADONČIĆ","HSS BIH","ZAJEDNO - HDZ 1990 / POSAVSKA STRANKA"
022A001,37,43,154,4,54,0,26
022A002,28,56,193,9,72,2,25
022A003A,1,127,2,13,0,2,36
022A003B,1,106,1,11,0,0,58
022A004,4,127,1,5,0,2,93
022A005,2,188,0,2,3,0,51
022A006,2,217,0,14,0,3,142
022A007,0,152,0,25,0,3,172
022A008A,1,220,0,24,0,3,38
022A008B,4,161,0,27,3,0,79
022A009,1,168,0,6,0,0,47
022A010,1,158,0,14,0,2,23
022A011,0,245,1,39,0,10,19
022A012,0,138,0,21,1,17,24
022A013,10,131,0,4,2,3,33
022A014,1,107,0,22,1,0,20
022A015,21,85,135,8,65,4,41
022A016,2,192,1,10,0,1,40
022A017,1,150,1,3,0,3,55
022A018,1,186,1,16,0,4,32
022A019,2,189,0,27,0,1,70
022A020,0,136,0,2,0,2,44
022A021,31,68,181,4,55,0,32
022A022,0,187,2,23,0,26,20
022A023,1,215,0,13,1,2,44
Ukupno,152,3752,673,346,257,90,1264
