"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SELJAČKA STRANKA","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","NARODNI DEMOKRATSKI POKRET","SNAGA NARODA","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH"
024B001,23,68,2,0,4,37,13,3,47,43,113,0,33,5,0
024B002,28,25,0,0,3,17,29,1,10,26,63,1,14,0,0
024B003,11,78,1,0,14,55,25,2,17,38,124,0,30,9,0
024B004,29,45,3,0,15,23,29,4,22,38,123,0,17,4,1
024B005,32,39,0,0,12,15,50,5,23,13,64,1,7,5,0
024B006,23,65,3,0,17,40,28,3,14,22,98,0,30,6,0
024B007,10,54,0,0,9,55,9,5,18,34,153,0,25,18,0
024B008,9,61,2,0,11,47,5,5,33,35,150,0,31,1,0
024B009,0,102,0,0,45,81,1,16,51,74,211,0,69,5,0
024B010,0,222,0,0,17,78,0,7,30,86,193,0,17,3,0
024B011,2,136,0,0,27,91,0,1,16,81,180,0,30,1,0
024B012,0,11,0,0,5,10,0,0,0,39,53,0,3,0,0
024B013,0,74,0,0,0,14,0,0,67,28,162,0,26,0,0
024B014,4,27,44,2,5,6,0,1,2,23,23,0,2,0,0
024B015,2,143,0,0,9,21,1,0,56,39,130,0,8,8,0
024B016,0,57,2,0,1,2,0,0,20,11,61,0,0,0,0
024B017,0,53,0,0,2,12,0,2,72,60,117,0,5,0,0
024B018,0,43,0,0,2,10,0,0,49,5,38,0,0,0,0
024B019A,2,8,58,1,4,12,0,1,6,39,26,0,6,0,0
024B019B,2,7,55,0,0,9,0,0,2,8,11,0,3,1,0
024B020,0,117,0,0,3,6,0,3,12,29,150,0,7,0,0
024B021,0,51,0,0,2,1,0,0,4,45,75,0,0,0,0
024B022,0,37,3,0,2,9,0,0,17,73,44,0,4,0,0
024B023,0,88,0,0,27,5,0,1,5,60,66,0,13,0,0
024B024,0,61,0,0,0,3,0,0,0,6,77,0,0,0,0
024B025A,51,0,1,0,0,3,50,1,0,4,24,0,1,2,0
024B025B,89,0,1,0,1,4,68,0,2,0,12,0,2,0,0
024B026,0,164,0,0,11,28,0,2,9,36,139,0,51,2,0
024B027,0,77,0,0,4,35,0,7,15,74,182,0,48,7,0
024B028,1,0,2,0,0,0,0,0,3,2,2,0,0,0,0
024B029,0,11,0,0,2,13,0,0,0,43,33,0,0,0,0
024B030,0,93,0,0,3,40,0,0,70,121,238,0,6,2,0
024B031,1,94,1,0,11,22,0,0,27,17,185,0,20,2,0
024B032,0,79,1,0,0,10,0,2,54,32,86,0,6,3,0
024B033,0,142,0,0,22,38,1,3,5,17,165,0,5,0,0
024B034,0,198,0,0,16,44,0,3,13,33,140,0,12,0,0
024B035,21,68,0,0,29,45,38,8,28,33,79,0,25,0,1
024B036,5,84,0,0,21,59,14,17,38,47,139,0,73,2,0
024B037,16,92,0,0,15,39,2,7,43,52,119,0,30,1,0
024B038,0,119,0,0,15,30,0,1,5,50,87,0,15,0,0
024B039,2,162,0,0,31,68,1,9,32,81,143,0,15,0,0
024B040,0,123,0,0,25,78,2,11,15,58,116,0,9,1,0
024B041,0,17,0,0,1,10,0,0,12,9,45,0,3,4,0
Ukupno,363,3195,179,3,443,1225,366,131,964,1664,4439,2,701,92,2
