"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","NARODNA STRANKA RADOM ZA BOLJITAK","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","SNAGA EKONOMSKOG POKRETA U BOSNI I HERCEGOVINI","DEMOKRATSKA FRONTA","REGIONALNI DEMOKRATSKI SAVEZ TUZLA"
025A001,3,4,37,0,1,367,0,0,0,0,32,7,14,1,157
025A002,3,13,249,0,54,73,0,5,2,0,25,49,15,47,12
025A003A,6,52,117,0,4,46,0,0,0,0,68,13,11,1,12
025A003B,17,93,78,0,5,32,0,1,1,0,83,13,17,3,15
025A004,1,75,175,0,10,82,0,0,1,0,42,53,91,7,58
025A005A,1,19,54,0,1,26,0,0,10,0,44,28,24,1,147
025A005B,6,10,66,0,1,75,0,1,5,0,17,67,60,0,98
025A006A,11,1,42,0,0,68,0,0,1,0,73,94,3,12,97
025A006B,8,4,28,0,7,79,0,0,0,0,72,81,8,0,140
025A007A,2,5,121,0,3,125,0,0,2,0,37,63,5,6,54
025A007B,16,2,120,0,0,126,0,0,2,0,16,45,0,1,33
025A008A,29,13,41,0,12,35,0,2,4,0,69,21,62,15,42
025A008B,25,3,127,0,3,13,0,7,4,0,55,47,80,34,40
025A009A,5,8,87,0,0,98,0,1,0,0,50,26,20,2,46
025A009B,11,6,51,0,0,136,0,0,0,0,52,13,58,0,53
025A010,5,6,158,0,6,126,0,1,0,0,27,38,12,0,6
025A011,12,21,115,4,1,114,0,16,15,0,39,39,4,16,24
025A012,8,21,129,2,3,78,0,10,5,0,11,62,6,18,17
025A013A,5,10,103,0,1,158,0,6,1,0,93,18,13,7,5
025A013B,5,15,121,1,0,124,0,1,2,0,64,5,30,9,28
025A013C,2,2,76,0,2,181,1,5,3,2,71,6,9,3,26
025A013D,6,8,87,1,4,94,0,0,1,0,35,19,14,5,18
025A014,2,8,92,0,3,150,0,5,0,0,111,15,12,13,21
025A015,2,145,57,0,3,51,0,0,1,0,112,31,69,8,20
025A016,3,14,112,5,3,76,0,7,14,0,57,6,14,32,12
025A017,4,16,137,2,9,78,0,18,5,0,30,11,15,20,25
025A018,9,14,88,5,4,81,0,2,15,0,22,16,23,20,9
025A019,8,22,154,2,6,93,0,4,5,0,22,42,16,25,19
025A020,39,23,115,8,24,78,0,3,7,0,29,13,24,10,16
025A021,1,12,218,0,6,88,0,2,0,0,42,15,13,18,25
025A022,2,3,265,0,12,50,0,11,7,0,22,3,14,27,8
025A023,3,24,153,0,12,38,0,8,1,0,43,2,13,13,20
025A024,2,6,70,0,28,39,0,0,3,0,19,8,14,28,12
025A025,0,2,2,205,0,5,0,0,0,0,0,0,5,0,0
025A026,15,9,161,0,1,123,0,0,5,0,10,6,9,2,40
025A027,3,14,77,0,3,116,0,1,0,0,26,2,4,1,44
025A028,2,10,64,3,2,48,0,0,10,0,26,15,31,20,15
025A029,1,7,62,0,3,33,0,1,0,0,13,8,5,4,7
025A030,7,17,130,11,4,72,0,11,12,0,22,23,23,25,13
025A031,15,16,142,11,12,78,0,1,15,0,41,32,13,21,9
025A032,9,18,133,3,11,153,0,3,9,0,36,10,27,22,20
025A033,12,37,121,5,7,96,0,45,10,0,46,51,8,8,12
025A034,0,87,101,1,12,20,0,0,4,0,32,18,90,18,33
025A035,13,16,98,0,6,68,0,7,1,0,32,13,23,15,30
025A036,4,2,70,0,8,45,0,6,7,0,31,11,21,9,12
025A037,14,20,104,16,8,52,0,15,12,0,17,27,14,41,17
025A038A,7,2,93,4,8,78,0,1,5,0,19,13,1,10,16
025A038B,3,6,64,0,12,90,0,0,3,0,16,23,17,10,10
025A039,0,0,8,286,1,0,0,2,0,0,0,0,1,0,0
025A040,10,5,47,0,2,50,0,0,0,0,11,12,1,1,5
025A041,0,1,101,41,4,45,0,1,1,0,10,9,4,3,3
025A042,1,0,23,0,1,47,0,0,0,0,16,3,3,2,54
025A043,4,6,211,1,2,114,0,7,1,0,24,25,25,10,35
025A044,4,10,135,0,41,62,0,1,1,0,27,2,25,5,13
025A045,7,14,44,0,10,51,0,4,7,0,20,19,7,12,21
Ukupno,393,977,5634,617,386,4524,1,222,220,2,2059,1291,1140,641,1724
