"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA RADIKALNA STRANKA ""9. JANUAR""","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","SAVEZ ZA DEMOKRATSKU SRPSKU","SRPSKA NAPREDNA STRANKA","REFORMSKA STRANKA","PRVA STRANKA","SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SNAGA NARODA","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","SRS-SRPSKA U SIGURNE RUKE","POKRET USPJEŠNA SRPSKA","KRISTIJAN TODOROVIĆ - NEZAVISNI KANDIDAT","DRAGAN MIĆIĆ - NEZAVISNI KANDIDAT","DARKO MILETIĆ - NEZAVISNI KANDIDAT","OGNJEN PLAKALOVIĆ - NEZAVISNI KANDIDAT","SLAĐAN SIMIĆ - NEZAVISNI KANDIDAT","ALEKSANDAR ĐORIĆ - NEZAVISNI KANDIDAT","SLAĐANA POPOVIĆ - NEZAVISNI KANDIDAT","UJEDINJENA SRPSKA","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","SRETEN RANKIĆ - NEZAVISNI KANDIDAT","POVRATAK OTPISANIH","SVETISLAV ERIĆ - NEZAVISNI KANDIDAT","MARIJA POPOVIĆ - NEZAVISNI KANDIDAT","DEJANA SAMARDŽIĆ - NEZAVISNI KANDIDAT","ALEKSANDAR LANCUŠKI - NEZAVISNI KANDIDAT","GORAN SPASOJEVIĆ - NEZAVISNI KANDIDAT","NATAŠA GRABOVAC - NEZAVISNI KANDIDAT","""SNAGA NOVE GENERACIJE"" BIJELJINA","ALEKSANDAR ČOLIĆ - NEZAVISNI KANDIDAT","FADIL BAĆEVAC - NEZAVISNI KANDIDAT","IVAN JEKIĆ - NEZAVISNI KANDIDAT","ZAJEDNO ZA BIJELJINU! NS-SRS RS"
029B001,0,41,0,40,30,0,43,30,99,1,1,0,6,0,0,1,8,0,0,2,23,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,1,0,6
029B002,0,40,0,21,19,5,20,20,43,1,0,1,1,0,0,3,6,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3
029B003,0,56,0,15,28,0,39,14,45,2,0,0,1,0,0,1,15,1,0,11,29,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,4
029B004,1,33,0,13,10,0,44,95,37,0,0,0,2,0,0,10,19,0,0,10,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,2
029B005,1,58,0,19,29,2,20,39,50,0,0,0,2,0,0,2,16,0,0,7,19,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,4
029B006,0,29,2,24,9,2,35,9,34,0,0,0,6,0,0,5,8,1,0,5,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,5
029B007,0,39,0,20,6,0,22,30,30,1,0,0,2,1,0,0,3,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1
029B008,0,53,0,28,20,0,24,37,66,2,0,0,4,0,0,4,7,0,0,15,26,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,1,0,13
029B009,0,48,0,21,18,3,23,26,75,0,0,0,1,0,0,0,13,1,0,6,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,1,0,5
029B010,0,64,0,48,0,0,40,44,93,1,0,0,16,0,0,8,7,0,0,10,34,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,5
029B011,1,65,0,46,5,5,50,34,85,2,0,0,7,0,0,2,11,0,0,9,29,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,4,0,1,0,14
029B012,0,57,0,44,0,1,56,43,71,1,0,0,10,0,0,7,15,0,0,10,27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,11
