"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","DEMOKRATSKA NARODNA ZAJEDNICA BIH - DNZ","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","DNS-DEMOKRATSKI NARODNI SAVEZ","NARODNA STRANKA RADOM ZA BOLJITAK","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","SRPSKA NAPREDNA STRANKA","DEMOKRATSKA FRONTA"
030A001,11,13,16,7,112,24,1,17,40,21,13,3,21
030A002,23,22,19,28,116,21,5,35,31,32,18,6,42
030A003,5,5,6,42,0,49,27,89,52,1,0,0,1
030A004,0,1,0,39,0,17,0,24,1,0,0,6,0
030A005,0,1,61,8,0,15,0,25,0,1,0,31,2
030A006,3,1,8,22,0,16,0,63,6,16,0,6,2
030A007,1,5,12,0,2,48,0,66,1,0,0,24,0
030A008,13,0,2,13,42,0,0,4,2,2,3,1,2
030A009,1,1,0,10,0,9,7,14,21,1,0,4,1
030A010,0,0,0,19,0,1,1,32,0,0,0,1,0
030A011,0,0,1,8,0,24,1,22,2,0,0,0,0
030A012,6,16,21,26,82,48,2,40,16,22,7,13,29
030A013,14,9,8,12,115,17,3,14,36,22,28,3,54
030A014,30,34,8,9,142,7,0,21,22,62,27,6,35
030A015,6,12,12,13,113,1,2,16,15,37,38,2,32
Ukupno,113,120,174,256,724,297,49,482,245,217,134,106,221
