"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA"
032A001,10,34,74,0,0,15,12,32,24
032A002,9,49,60,10,1,15,12,21,40
032A003,1,48,37,4,0,7,4,5,16
032A004,2,7,52,6,3,3,6,22,16
032A005,8,34,75,7,0,15,9,18,23
032A006,18,26,63,1,1,10,5,17,49
032A007,6,36,51,1,0,15,13,9,28
032A008,15,45,114,3,2,19,9,22,35
032A009,8,43,71,4,0,18,8,12,25
032A010,8,31,73,0,0,8,11,25,58
032A011,8,32,260,0,0,5,11,19,62
032A012,3,45,106,4,7,21,19,51,29
032A013,10,32,65,16,15,14,13,40,38
032A014A,2,30,84,0,0,8,9,23,25
032A014B,3,7,89,0,0,1,9,10,19
032A015,0,26,61,9,2,4,8,25,48
032A016,9,21,140,1,2,3,26,9,28
032A017,7,42,64,0,1,2,17,18,17
032A018,0,5,133,0,0,0,58,8,18
032A019,8,28,109,0,0,4,25,11,68
032A020,7,32,107,2,0,4,7,10,52
032A021,3,14,140,0,1,0,6,11,59
032A022,0,110,100,0,0,4,21,42,3
032A023,1,37,136,3,1,3,37,26,20
032A024,7,16,17,0,0,1,12,107,1
032A025A,6,7,101,0,0,1,6,27,7
032A025B,3,6,104,0,0,0,9,12,4
032A026,4,4,110,0,0,3,2,8,20
032A027,0,4,13,210,40,1,0,0,0
032A028,16,27,129,0,0,0,10,21,15
032A029,10,8,135,1,0,0,8,4,11
032A030,59,30,137,22,10,3,4,13,5
032A031,4,24,128,0,0,2,18,50,11
032A032A,21,17,63,0,0,3,20,20,5
032A032B,56,18,89,0,0,5,11,55,15
032A033,7,116,107,0,1,3,13,8,10
032A034,11,52,119,0,1,1,35,20,32
032A035,0,3,41,23,1,5,6,3,1
032A036,17,39,84,1,0,15,7,35,40
032A037,2,58,88,0,0,15,12,17,36
032A038,2,6,128,0,0,4,4,32,28
032A039,0,2,55,0,0,0,6,1,3
032A040,13,10,95,0,0,1,4,10,18
032A041,3,20,96,1,0,11,17,24,28
032A042,13,33,68,5,3,11,13,21,23
032A043,7,11,50,7,1,3,7,65,8
032A044,14,16,29,7,4,2,5,4,16
032A045,6,4,130,0,0,0,11,0,4
032A046,15,42,73,0,1,10,9,12,29
032A047,2,32,99,0,0,0,3,6,21
032A048,8,31,46,4,4,9,13,14,33
032A049,1,60,29,6,2,0,0,5,9
Ukupno,453,1510,4627,358,104,307,620,1080,1233
