"Biračko Mjesto","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","UJEDINJENA SRPSKA","JEDINSTVENA NAPREDNA STRANKA"
033B001A,10,4,23,46,49,71,19,17
033B001B,20,5,30,31,60,85,19,34
033B001C,5,2,21,52,73,46,3,20
033B002,10,12,88,55,72,85,3,10
033B003,5,34,12,0,204,84,0,3
033B004,0,3,0,1,2,54,0,1
033B005,2,41,1,4,9,85,1,2
033B006,0,4,9,0,9,16,0,0
033B007,17,67,40,28,115,96,6,11
Ukupno,69,172,224,217,593,622,51,98
