"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","STRANKA SPAS","ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","DEMOKRATSKA FRONTA","PRVA STRANKA","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","SRS-SRPSKA U SIGURNE RUKE","BOGDAN MARJANOVIĆ - NEZAVISNI KANDIDAT","UJEDINJENA SRPSKA","SNJEŽANA STANKOVIĆ - NEZAVISNI KANDIDAT","POVRATAK OTPISANIH","NOVA PARTIJA",SDA/SBB/SBIH,"HRVATSKA KOALICIJA BANJALUKA HDZBIH-HDZ1990","STRANKA SOCIJALNE SIGURNOSTI SRPSKIH BORACA-SNAGA NARODA","NDP-DRAGAN ČAVIĆ"
034B000,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
034B001,10,0,0,10,0,31,28,150,0,0,0,0,0,0,0,19,0,0,0,0,0,0,45
034B002,34,1,0,41,4,29,36,157,1,0,0,2,0,2,1,28,2,3,1,1,0,0,58
034B003,90,5,0,39,2,47,47,117,2,0,0,1,0,0,3,18,0,0,0,0,0,1,34
034B004,38,0,0,37,1,31,45,147,2,0,1,0,0,2,2,18,0,0,0,0,0,6,44
034B005,17,0,0,27,8,20,50,76,1,0,0,0,0,1,1,16,1,1,0,0,0,0,33
034B006,28,3,0,49,2,46,45,135,0,1,0,0,0,0,0,23,3,0,0,0,1,0,40
034B007A,41,1,0,53,8,24,19,157,0,0,0,0,0,5,0,10,0,0,0,1,0,2,31
034B007B,45,1,0,44,4,27,38,154,0,0,0,1,0,14,0,8,0,1,0,1,0,3,40
034B008A,28,2,0,22,1,17,88,85,0,1,0,0,0,0,0,7,0,1,0,0,0,0,45
034B008B,14,0,0,19,0,17,91,76,0,0,0,0,0,0,0,21,1,0,0,0,0,0,28
034B009,37,8,0,38,5,31,36,124,0,0,1,0,0,0,1,16,2,1,0,1,1,4,52
034B010,32,4,0,30,3,28,22,138,1,0,0,2,0,0,0,27,0,0,0,1,2,5,44
034B011,41,3,0,30,5,22,38,115,1,0,0,2,0,0,1,24,0,7,0,1,2,5,51
034B012,39,0,0,31,4,25,22,99,0,0,0,1,0,0,1,11,1,2,0,1,1,2,50
034B013,34,1,0,60,7,30,33,110,1,0,0,0,1,1,1,18,0,1,0,2,0,0,48
034B014,26,4,0,38,4,45,27,131,0,1,0,3,1,0,0,32,0,2,0,1,0,1,44
034B015,27,1,0,33,5,28,38,90,1,0,1,0,0,1,0,17,0,1,0,9,1,5,50
034B016,33,1,0,43,6,24,23,127,1,0,0,0,1,1,0,19,0,0,0,0,0,8,44
034B017,41,1,2,56,2,25,36,100,1,0,0,0,0,1,0,13,0,0,0,4,0,4,63
034B018,56,2,2,36,1,28,21,108,1,0,0,1,0,2,0,10,0,2,0,1,1,3,55
