"Biračko Mjesto","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","NARODNI DEMOKRATSKI POKRET","UJEDINJENA SRPSKA"
035B001,12,53,63,9,24,26,93,110,0,68,43
035B002,10,69,43,12,8,56,107,100,0,49,35
035B003,16,118,75,0,15,42,118,178,0,39,27
035B004,7,90,95,1,13,50,106,132,0,53,26
035B005,7,48,91,30,17,10,77,96,0,29,44
035B006,1,63,76,0,11,14,109,110,0,42,26
035B007,0,39,16,1,0,6,35,82,0,18,64
035B008,9,79,60,0,1,39,31,31,0,34,26
035B009,18,160,47,1,12,37,57,49,1,43,49
035B010,9,77,9,0,7,16,47,33,1,11,20
035B011A,5,88,33,0,8,19,99,98,0,17,40
035B011B,2,68,22,1,6,14,77,64,0,5,23
035B012,15,65,10,0,2,10,96,39,0,21,18
035B013,2,40,30,0,0,38,92,160,0,10,22
035B014,10,75,12,0,4,41,122,49,2,15,57
035B015,1,48,21,0,1,6,64,82,0,38,0
035B016,0,95,21,3,3,10,7,30,0,10,9
035B017,1,104,39,0,24,17,42,106,0,13,14
035B018,0,54,19,0,1,16,32,86,0,12,6
035B019,1,8,5,0,1,3,82,88,0,7,14
035B020,7,77,73,1,23,36,63,217,0,23,27
035B021,1,32,43,0,3,1,51,50,0,9,11
035B022,6,46,20,0,2,18,17,79,0,37,10
035B023,2,90,109,0,23,37,120,209,0,49,62
035B024,17,105,80,2,16,23,133,145,1,32,33
035B025,9,52,54,0,1,10,17,40,0,18,3
Ukupno,168,1843,1166,61,226,595,1894,2463,5,702,709
