"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","GRAÐANSKA DEMOKRATSKA STRANKA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SDA-STRANKA DEMOKRATSKE AKCIJE","LIBERALNO DEMOKRATSKA STRANKA BIH","NAŠA STRANKA","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA"
036A001A,40,39,85,59,0,227,45,25,50,4
036A001B,32,23,28,27,0,74,6,16,15,9
036A001C,39,54,86,84,2,242,40,43,29,2
036A001D,15,109,64,82,0,142,20,45,34,6
036A001E,9,87,82,39,0,156,37,44,35,11
036A001F,45,56,37,19,0,179,19,24,13,2
036A002,26,156,45,39,0,221,8,18,7,9
036A003A,26,51,37,9,3,174,6,4,35,1
036A003B,33,57,87,21,7,133,4,8,7,1
036A003C,77,115,111,26,2,158,7,24,11,0
036A004A,61,68,211,19,1,160,3,6,44,1
036A004B,100,78,149,10,0,155,3,2,22,3
036A005A,10,8,32,17,0,90,54,12,82,0
036A005B,7,4,39,16,0,92,27,47,69,0
Ukupno,520,905,1093,467,15,2203,279,318,453,49
