"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","EKOLOŠKA DEMOKRATSKA STRANKA EDS","SRPSKA NAPREDNA STRANKA","DEMOKRATSKA FRONTA","PRVA STRANKA","SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE","IGOR JOVANOVIĆ - NEZAVISNI KANDIDAT","ALEKSANDAR PETKOVIĆ - NEZAVISNI KANDIDAT","ŽELJKO ŠUJIĆ - NEZAVISNI KANDIDAT","SRĐAN TEKIĆ - NEZAVISNI KANDIDAT","MIRJANA SAVIĆ - NEZAVISNI KANDIDAT","SRĐAN ĐUKIĆ - NEZAVISNI KANDIDAT","SANJA PAVLOVIĆ - NEZAVISNI KANDIDAT","VLADIMIR JOVIĆ - NEZAVISNI KANDIDAT","MAJA JANJILOVIĆ - NEZAVISNI KANDIDAT","GORAN SIMIĆ - NEZAVISNI KANDIDAT","ALEKSANDRA JANKOVIĆ - NEZAVISNI KANDIDAT","JOVAN MILANOVIĆ - NEZAVISNI KANDIDAT","UJEDINJENA SRPSKA","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","STEFAN ŠAPORAC - NEZAVISNI KANDIDAT","SLOBODAN STOJANOVIĆ - NEZAVISNI KANDIDAT","BRANISLAV CVJETKOVIĆ - NEZAVISNI KANDIDAT","POVRATAK OTPISANIH","KOVILJKA LUGONJIĆ - NEZAVISNI KANDIDAT","GORDANA SIMIKIĆ - NEZAVISNI KANDIDAT","SPAS, NEZAVISNIH LISTA DOBOJ","TODORA JOVIĆ - NEZAVISNI KANDIDAT","NOVA PARTIJA",SDA/SBB/SBIH
038B001,7,110,1,0,50,1,12,8,105,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,2,5,0,0,12
038B002,13,123,3,0,67,2,11,18,88,1,0,0,0,0,8,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,10
038B003A,7,279,1,0,24,2,9,51,66,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,9
038B003B,2,280,0,0,36,2,9,19,76,0,0,0,0,0,1,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,2,0,0,10
038B004,12,69,2,1,36,1,13,14,50,0,0,0,0,1,4,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,10
038B005,8,57,1,0,23,3,8,12,56,0,1,0,0,1,0,0,0,0,13,4,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,4
038B006,11,78,1,0,33,2,12,14,95,0,0,0,0,0,5,5,0,0,25,4,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,1,3,0,0,21
038B007,8,226,1,0,65,2,20,37,99,0,0,0,0,1,1,4,1,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,7
038B008,3,104,0,0,39,6,17,28,115,0,0,0,0,0,4,2,0,0,12,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,2
038B009,4,162,0,0,57,0,23,41,114,1,0,0,0,1,2,1,0,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,5,0,0,6
038B010,4,104,0,0,61,4,11,35,93,0,2,0,0,1,10,2,0,0,34,1,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,5,0,0,4
038B011,0,48,0,0,30,8,9,9,41,0,0,0,0,0,7,1,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,1
038B012,16,117,3,0,70,5,32,43,166,0,0,0,0,1,8,4,0,0,15,7,0,0,0,1,0,0,1,0,0,0,0,0,6,0,1,0,0,0,2,0,10,0,0,4
038B013,2,122,0,0,47,1,16,33,154,0,0,3,0,2,15,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,5
038B014,19,147,2,0,92,0,38,28,140,2,0,6,0,2,0,3,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,14,0,3,12
038B015,49,77,1,1,27,2,6,20,63,1,0,0,1,0,2,4,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,137
038B016A,7,116,4,0,63,1,6,44,83,0,0,0,0,0,10,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,10
038B016B,3,104,0,0,40,2,13,31,103,0,0,2,0,7,3,0,0,0,54,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,11,0,0,4
038B017,13,60,0,1,27,0,11,14,53,0,0,0,0,0,2,1,0,0,19,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,13
038B018A,13,99,1,0,55,6,31,29,95,0,1,2,0,0,0,2,1,0,16,5,0,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,1,0,0,4,0,0,12
038B018B,9,118,1,0,67,4,27,31,118,0,0,3,0,0,4,1,0,0,20,5,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,16,0,0,6
038B019,14,116,1,0,68,2,20,15,111,0,0,1,0,0,6,1,0,0,25,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,9,0,0,23
038B020,8,164,3,0,50,3,21,29,116,0,1,0,0,0,4,1,0,0,18,3,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,6
038B021,3,76,0,0,33,3,5,10,85,0,0,0,0,0,3,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
038B022,2,127,0,0,21,1,9,9,50,0,0,1,0,1,7,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,7
038B023A,1,117,1,0,67,3,28,29,133,0,0,2,0,1,5,1,0,0,30,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,17,1,0,3
038B023B,5,143,0,0,38,15,17,35,124,0,0,0,0,0,8,0,0,0,21,3,0,1,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,5
