"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","LIBERALNO DEMOKRATSKA STRANKA BIH","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA"
039A001,7,14,63,0,118,10,7,36,43,18
039A002,1,5,71,48,182,0,0,131,33,9
039A003,41,26,70,2,120,17,8,37,20,38
039A004A,1,16,6,0,87,4,1,6,118,5
039A004B,4,15,27,0,125,12,0,12,77,7
039A005A,13,69,19,1,203,0,7,13,9,1
039A005B,13,56,6,0,165,7,3,13,4,2
039A006,5,8,100,1,95,3,3,10,12,17
039A007,4,3,171,54,83,3,4,6,11,26
039A008,3,28,145,18,105,9,2,29,19,25
039A009,3,12,55,74,73,2,1,5,15,7
039A010A,2,55,68,1,192,0,1,12,18,28
039A010B,2,36,65,1,152,0,1,16,8,34
039A011,77,32,18,0,99,9,13,24,35,3
039A012A,0,26,93,17,199,4,5,5,8,57
039A012B,2,17,69,0,139,9,2,1,4,42
039A013A,11,8,14,0,176,121,3,25,4,10
039A013B,2,15,5,1,209,67,8,18,10,7
039A014,6,6,117,1,105,2,4,10,20,131
039A015,54,56,19,0,239,16,0,24,13,19
039A016A,1,14,29,14,138,1,0,4,28,12
039A016B,7,6,6,10,130,1,1,6,29,4
039A017A,3,34,19,0,135,4,5,21,26,4
039A017B,2,31,13,0,185,1,5,16,34,6
039A018,24,13,15,21,147,5,24,14,22,17
039A019A,9,4,34,0,152,8,4,9,37,10
039A019B,17,8,64,0,185,1,10,10,27,14
039A020,7,50,31,0,379,18,0,16,18,2
039A021A,2,50,129,11,142,2,3,75,14,10
039A021B,2,62,114,17,94,0,3,70,10,7
039A022A,44,15,41,2,75,8,5,36,6,9
039A022B,32,33,21,3,142,9,6,18,14,6
039A022C,17,27,28,7,75,3,7,14,26,5
039A022D,43,23,15,2,109,3,12,20,22,11
039A023,0,5,64,46,109,4,2,34,19,15
039A024A,27,72,55,0,195,6,1,4,38,7
039A024B,29,114,93,0,156,1,0,2,49,5
039A024C,34,95,49,0,126,7,6,7,43,12
039A025,25,28,146,1,148,10,8,14,32,40
039A026,19,28,139,6,143,17,10,14,46,24
039A027,25,38,83,0,115,10,12,15,28,29
039A028A,4,18,74,0,59,5,11,10,13,16
039A028B,13,18,88,5,65,3,5,11,13,24
039A029,16,69,59,1,123,10,7,9,28,34
039A030,14,12,62,0,72,7,4,8,10,19
039A031A,217,26,17,1,142,13,0,14,32,3
039A031B,55,103,39,0,140,13,4,11,16,3
039A032A,15,8,72,3,186,4,0,11,9,16
039A032B,5,8,85,9,123,2,1,5,8,11
039A033,5,11,131,30,107,4,1,15,7,15
039A034,68,15,13,0,81,6,4,5,29,5
039A035,17,38,32,4,60,3,3,6,4,7
039A036,42,33,109,1,122,26,11,11,26,21
039A037,7,19,181,9,98,3,3,10,18,20
039A038,13,13,0,0,164,1,2,9,3,3
Ukupno,1111,1644,3351,422,7488,514,253,987,1265,932
