"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","EKOLOŠKA DEMOKRATSKA STRANKA EDS","SRPSKA NAPREDNA STRANKA","NARODNI DEMOKRATSKI POKRET","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","SRS-SRPSKA U SIGURNE RUKE","ZDRAVKO KOZAREVIĆ - NEZAVISNI KANDIDAT","MIROSLAV SUBOTIĆ - NEZAVISNI KANDIDAT","VLADIMIR SMILJANIĆ - NEZAVISNI KANDIDAT","VELIBOR ERIĆ - NEZAVISNI KANDIDAT","MLADEN STOKIĆ - NEZAVISNI KANDIDAT","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH"
040B001,80,60,10,13,212,0,0,0,0,3,0,1,58,0,0,0,0,0
040B002,23,21,0,23,99,0,0,0,0,0,0,0,1,0,0,0,0,0
040B003,91,82,23,76,174,0,0,0,4,6,0,0,0,0,0,0,0,0
040B004,26,52,11,42,111,1,0,0,0,9,0,2,0,0,0,0,0,0
040B005,56,23,8,46,101,0,0,1,1,0,0,2,0,1,0,0,0,0
040B006A,70,19,10,30,190,0,0,1,19,2,0,14,0,0,0,0,0,0
040B006B,76,13,5,29,161,0,0,0,5,4,0,2,0,0,0,0,0,0
040B007,53,79,37,23,223,0,0,4,32,13,0,13,0,0,0,0,0,0
040B008,17,13,30,17,152,0,0,2,0,3,0,0,0,0,0,0,0,0
040B009,27,46,11,15,136,0,0,0,2,16,0,11,0,0,0,0,0,0
040B010,107,37,10,43,89,0,0,0,5,36,0,16,0,0,0,0,0,0
040B011A,107,82,17,78,267,0,0,2,4,10,0,7,0,1,0,0,0,0
040B011B,93,73,14,59,171,0,0,0,1,7,0,6,0,0,1,0,0,0
040B012,11,12,11,52,143,0,0,0,6,1,0,2,0,1,0,0,0,0
040B013,36,11,4,38,64,0,0,1,2,6,0,1,0,2,0,0,0,0
Ukupno,873,623,201,584,2293,1,0,11,81,116,0,77,59,5,1,0,0,0
