"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA"
042A001,11,182,5,134,25,9,39,42
042A002,23,184,8,120,28,2,31,47
042A003A,24,107,0,93,8,2,37,42
042A003B,22,130,3,82,8,0,16,37
042A004,10,162,4,91,25,2,34,31
042A005,2,156,0,150,18,11,29,24
042A006,17,111,1,228,19,12,54,25
042A007,1,73,33,10,1,14,1,6
042A008,13,171,1,154,38,0,23,19
042A009,10,204,0,129,28,4,11,16
042A010A,13,70,4,160,11,10,55,23
042A010B,5,48,8,104,16,7,25,34
042A011,6,111,0,131,25,5,29,13
042A012,4,97,0,103,17,4,41,28
042A013A,70,90,1,136,3,6,26,13
042A013B,56,63,0,126,12,3,8,8
042A014,4,36,0,248,2,2,3,8
042A015,4,110,0,164,14,3,12,14
042A016,2,89,22,184,5,8,17,12
042A017,0,1,233,0,0,0,0,23
042A018,5,20,1,199,2,6,18,11
042A019,0,25,2,157,3,0,130,7
042A020,8,53,39,161,40,6,30,8
042A021,0,31,1,129,0,0,11,13
042A022,7,69,0,93,9,5,29,25
042A023,18,143,2,114,17,4,38,41
042A024A,1,74,1,242,1,2,14,51
042A024B,10,61,1,195,1,3,7,41
042A025A,8,111,1,127,16,0,25,6
042A025B,42,115,0,165,34,1,34,6
042A026,0,13,175,62,0,1,7,13
Ukupno,396,2910,546,4191,426,132,834,687
