"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","LIBERALNO DEMOKRATSKA STRANKA BIH","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA"
044A001,28,121,210,0,11,0,56,6,36,11,0,7,8
044A002,23,116,190,0,24,0,123,3,31,16,1,8,43
044A003,0,0,13,0,11,0,63,31,0,0,0,1,0
044A004,36,14,39,0,3,0,247,1,10,23,4,15,7
044A005,30,6,66,1,4,0,116,17,11,7,0,18,10
044A006,8,12,34,0,4,0,163,3,22,52,0,0,8
044A007,5,10,68,0,18,0,102,27,0,2,6,0,2
044A008,29,20,70,0,49,0,66,21,11,112,11,42,39
044A009,12,11,112,1,11,0,62,26,7,119,9,15,28
044A010,15,24,94,0,9,0,96,10,13,116,2,19,12
044A011,28,10,86,0,2,0,120,52,16,67,0,12,14
044A012,14,14,166,0,9,0,74,12,14,58,1,12,31
044A013,19,42,99,1,8,0,82,11,34,104,2,9,4
044A014,6,17,84,0,17,0,53,6,12,76,2,23,4
044A015,16,17,78,1,7,0,51,25,12,56,0,11,7
044A016,23,20,117,0,38,0,56,32,8,84,2,11,7
044A017,9,47,118,0,13,0,69,6,15,121,3,41,20
044A018,22,25,176,0,19,1,101,26,12,112,2,14,17
044A019,14,19,321,1,16,0,33,0,8,41,0,15,10
044A020,22,17,105,1,18,0,32,3,15,67,2,21,20
044A021,27,27,136,0,23,0,52,2,25,85,3,10,9
044A022,3,15,57,0,3,0,70,0,8,22,10,4,8
044A023,166,23,81,0,7,0,149,6,1,13,0,3,6
044A024,38,20,164,0,14,0,233,1,1,20,5,4,44
044A025,19,37,308,0,3,0,82,1,15,6,1,12,16
044A026,3,10,294,0,64,0,112,4,49,20,4,11,2
044A027,2,22,191,1,29,0,131,3,71,23,1,18,11
044A028,8,14,278,0,42,0,118,3,29,17,4,39,6
044A029A,42,160,68,1,6,0,79,6,8,19,0,8,74
044A029B,25,118,40,0,8,0,54,6,9,6,1,2,34
044A030,8,35,25,0,7,0,37,1,0,0,1,1,12
044A031,11,70,45,0,14,0,58,0,10,17,5,3,12
044A032A,26,9,67,0,16,0,184,0,11,15,1,1,53
044A032B,20,3,75,1,2,0,121,1,3,21,2,2,52
044A033,59,16,139,0,3,0,111,3,13,30,0,6,34
044A034,28,37,133,0,5,1,54,1,11,29,1,3,84
044A035,56,24,123,0,12,0,116,1,19,16,7,2,25
044A036,21,7,289,0,23,0,85,4,27,21,2,0,3
044A037,30,6,119,0,25,0,203,1,9,4,1,0,3
044A038,3,9,118,0,3,0,176,0,15,9,2,4,5
044A039A,11,60,70,0,1,0,73,13,7,106,2,17,14
044A039B,9,60,51,2,8,0,61,20,8,62,4,13,40
044A039C,4,40,57,0,5,0,25,4,8,38,1,13,15
044A040,12,1,13,0,2,0,301,3,1,4,0,1,3
044A041,2,9,162,0,6,0,178,10,2,8,1,1,49
044A042,38,35,124,2,3,0,166,2,12,33,4,13,59
044A043,8,22,112,0,0,0,217,1,20,31,1,8,17
044A044,34,8,11,0,13,0,143,4,176,19,1,13,4
044A045,25,114,48,0,27,0,233,4,77,7,1,33,28
044A046,9,26,21,0,13,0,300,2,100,70,2,14,13
044A047,1,93,240,1,3,0,38,2,4,12,1,9,6
044A048,1,35,169,0,4,0,141,15,4,3,36,6,2
044A049,11,13,118,0,29,0,229,12,63,16,2,5,13
044A050,4,12,15,0,27,0,197,0,74,99,6,27,7
044A051,2,79,186,0,2,0,87,2,3,2,0,9,3
044A052,1,6,26,0,10,0,170,69,1,1,11,0,0
044A053,1,6,11,0,0,0,12,0,3,8,1,6,2
044A054,6,10,12,0,2,0,5,1,1,9,0,13,0
044A055,16,25,96,0,7,0,69,10,13,127,2,31,15
044A056,8,35,75,0,16,0,94,5,8,94,5,29,17
044A057,25,27,111,0,5,0,54,18,7,101,1,10,7
044A058,12,25,56,0,1,0,113,2,3,44,4,3,11
044A059,2,9,17,0,1,0,71,0,3,7,1,6,0
Ukupno,1196,1974,6797,14,785,2,6967,561,1219,2538,185,707,1109
