"Biračko Mjesto","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA DEMOKRATSKA STRANKA EDS","SRPSKA NAPREDNA STRANKA","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE"
045B000,0,0,0,0,0,0,0,0,0,0,0
045B001,11,65,12,13,32,64,47,4,48,82,19
045B002,23,111,8,14,16,21,81,5,67,53,15
045B003A,18,87,3,19,31,45,52,3,24,40,47
045B003B,17,78,12,16,21,42,68,0,39,28,54
045B003C,15,75,9,21,17,34,32,0,24,41,59
045B005,18,230,0,19,5,38,173,0,28,50,21
045B006,37,79,13,32,11,112,64,1,68,24,18
045B007,5,119,3,5,8,76,44,0,21,5,5
045B008,2,39,1,5,5,23,12,0,0,22,2
045B009,3,20,15,2,8,9,11,0,3,8,7
045B010,15,111,7,9,25,64,113,8,46,67,18
Ukupno,164,1014,83,155,179,528,697,21,368,420,265
