"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","NAŠA STRANKA","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","MEHMED DAMADŽIĆ - NEZAVISNI KANDIDAT","DOSTA JE BILO","UJEDINJENI ZA LUKAVAC SDU BIH LDS BIH DSI BIH"
047A001A,3,16,20,36,26,0,5,4,6,0,0,7
047A001B,2,9,24,75,24,3,1,5,5,0,0,7
047A002,4,20,79,30,38,2,6,22,27,0,1,23
047A003,4,15,128,1,85,5,22,32,61,0,7,23
047A004,6,33,76,4,145,6,53,32,81,1,5,28
047A005,6,12,105,0,102,7,18,31,48,0,2,28
047A006,4,15,94,8,99,10,35,32,58,2,8,33
047A007,7,24,74,3,128,6,12,34,62,1,1,32
047A008,8,22,98,5,105,14,23,25,45,4,6,40
047A009A,5,10,48,0,67,1,5,9,27,11,2,9
047A009B,2,5,39,1,147,3,4,13,16,5,1,28
047A010,9,15,76,0,153,10,15,21,44,16,13,52
047A011,16,51,39,1,116,3,11,20,54,2,3,18
047A012,6,10,24,0,65,2,7,15,17,2,1,12
047A013,1,12,85,0,323,2,1,19,16,4,0,31
047A014,7,26,57,0,256,21,6,32,26,4,3,87
047A015,1,27,48,0,217,5,3,3,9,0,0,12
047A016A,2,17,40,0,138,1,3,42,18,3,0,9
047A016B,3,31,43,0,144,2,6,80,7,2,0,26
047A016C,3,20,31,0,154,3,4,58,16,0,0,21
047A016D,0,24,24,0,115,7,1,39,2,0,0,8
047A017,0,34,191,0,124,2,0,15,4,4,1,5
047A018A,1,70,31,0,215,8,3,14,7,1,0,4
047A018B,1,125,29,0,166,1,0,11,2,2,0,2
047A018C,5,117,22,0,206,3,3,11,5,0,0,6
047A018D,3,39,19,0,77,1,2,6,1,0,0,3
047A019A,9,26,45,0,193,0,0,20,27,1,8,11
047A019B,4,36,36,1,263,4,0,26,33,0,6,9
047A019C,0,28,17,0,159,2,1,26,34,0,3,11
047A020,1,72,55,0,134,10,4,39,32,1,6,5
047A021,0,36,60,0,143,24,10,59,35,0,2,8
047A022,3,28,97,0,170,6,7,52,18,0,2,8
047A023A,0,17,53,0,269,8,3,15,34,1,1,15
047A023B,3,3,47,0,185,2,4,8,21,1,0,10
047A024A,9,89,28,0,110,2,6,21,32,1,10,14
047A024B,3,54,23,1,109,8,4,15,31,2,7,7
047A025,3,17,14,0,162,0,0,23,5,0,38,17
047A026,14,6,40,1,193,2,0,112,23,2,3,12
047A027A,35,53,33,0,111,0,2,17,41,0,123,4
047A027B,59,30,31,0,120,1,4,12,35,0,50,5
047A027C,27,36,33,0,170,0,0,19,59,0,125,4
047A027D,22,27,28,0,105,0,6,10,23,0,62,3
047A028,4,8,65,2,122,3,13,18,56,3,9,20
047A029,4,44,19,0,59,1,0,19,26,0,2,17
047A030,4,108,14,0,174,3,1,33,9,15,0,6
047A031,5,40,55,0,146,12,1,145,15,0,5,7
047A032,0,12,104,6,24,0,1,17,12,0,0,21
047A033,11,2,25,0,110,0,0,13,22,10,16,28
047A034,0,1,8,1,45,0,0,3,0,0,0,1
047A035,0,12,87,0,3,1,0,0,35,0,0,0
047A036,0,2,20,0,2,3,1,1,2,0,0,1
047A037,8,19,73,9,137,9,24,39,69,3,7,30
047A038,2,76,47,3,180,21,10,25,19,0,4,9
047A039,3,11,81,0,164,8,2,33,22,0,63,30
047A040,10,27,85,3,106,1,15,40,69,2,2,26
047A041,8,17,84,11,94,11,18,21,60,3,1,17
047A042,0,41,15,0,67,10,4,13,2,0,0,6
047A043,6,21,23,0,260,8,1,66,12,1,1,22
047A044A,23,42,27,0,119,4,4,6,23,2,26,1
047A044B,15,14,20,0,147,2,0,5,39,0,51,6
047A045,0,12,59,2,137,4,2,54,11,0,33,41
047A046,8,19,60,0,83,3,21,14,28,3,5,31
047A047,8,10,43,0,107,9,11,44,35,20,17,46
Ukupno,420,1895,3198,204,8317,310,429,1708,1713,135,742,1063
