"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SDA-STRANKA DEMOKRATSKE AKCIJE","LIBERALNO DEMOKRATSKA STRANKA BIH","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","PRVA STRANKA","OMER IBRIŠIMOVIĆ - NEZAVISNI KANDIDAT","LISTA NEZAVISNIH KANDIDATA SREBRENIK 2016"
049A001,33,55,41,11,1,70,13,1,6,12,5,3,1,26
049A002,8,24,34,0,0,67,0,0,1,11,3,0,0,6
049A003A,11,7,45,2,0,147,26,0,0,25,13,2,2,30
049A003B,34,11,47,0,3,115,17,0,0,14,5,1,1,21
049A004,18,18,54,0,0,102,45,11,2,10,6,0,1,50
049A005,5,14,45,26,0,190,4,3,3,39,8,1,0,55
049A006,6,27,26,1,0,329,7,0,7,11,2,1,0,16
049A007,8,25,45,3,3,126,64,1,6,13,49,0,1,19
049A008A,5,21,59,12,5,144,52,13,0,28,8,12,1,39
049A008B,6,15,54,1,6,98,26,5,1,17,5,38,0,30
049A009,9,23,62,0,1,147,17,7,0,21,6,2,1,28
049A010,3,12,60,2,0,97,5,4,1,10,17,1,4,19
049A011,3,9,15,1,0,115,26,28,0,11,2,1,0,21
049A012A,5,15,21,8,0,119,0,2,5,11,5,0,0,13
049A012B,10,13,10,10,0,110,5,1,3,6,1,0,0,10
049A013,28,19,48,10,0,170,8,9,2,60,18,2,1,28
049A014,1,0,2,158,0,3,0,0,55,1,0,0,1,126
049A015,38,27,105,0,7,109,22,10,15,19,8,6,8,38
049A016,44,22,22,3,1,120,34,12,11,18,5,8,22,30
049A017,17,5,13,0,2,139,0,1,12,6,9,9,4,41
049A018A,66,23,15,4,0,52,7,5,2,30,26,4,2,31
049A018B,113,42,32,4,1,69,5,2,0,20,13,0,3,19
049A019,15,29,58,4,5,143,27,24,2,45,21,23,12,51
049A020,27,17,41,0,0,186,18,10,3,34,12,6,2,20
049A021,1,3,87,3,2,120,16,14,0,8,1,1,2,12
049A022,13,12,54,3,1,94,35,22,6,25,5,2,5,37
049A023,6,3,41,9,3,82,26,9,1,24,6,2,1,22
049A024,20,19,62,3,1,104,11,20,2,36,20,8,7,22
049A025,16,21,78,0,0,103,22,42,2,51,8,9,2,88
049A026,10,27,14,1,0,75,0,4,4,8,2,0,1,5
049A027,7,13,55,5,36,97,62,1,0,27,7,1,3,24
049A028,92,23,35,1,0,172,11,6,0,23,3,3,0,11
049A029,20,15,154,13,0,128,42,27,0,32,10,10,3,38
049A030,3,17,90,4,4,88,7,37,0,32,1,2,0,21
049A031,9,74,19,4,0,83,12,13,2,29,3,9,0,84
049A032,9,0,11,0,0,106,4,4,17,51,6,2,0,12
049A033,6,7,16,0,0,85,5,8,4,5,4,0,2,3
049A034,4,2,23,0,0,38,21,3,0,5,0,2,1,11
049A035,6,3,36,0,1,88,2,0,3,7,33,2,3,30
049A036,5,0,58,0,0,107,6,11,1,2,24,4,0,12
049A037,4,32,136,0,0,89,24,8,1,17,30,1,4,34
049A038,1,13,23,5,1,56,2,4,0,3,12,4,0,3
049A039,0,0,0,46,0,9,0,0,11,1,0,0,0,102
049A040,0,5,8,0,5,29,151,2,0,12,1,1,4,5
049A041,2,46,7,0,0,146,6,1,0,5,1,0,0,8
049A042,10,5,21,1,0,81,11,1,0,21,6,14,5,6
049A043,31,5,115,3,1,84,2,4,0,63,5,1,1,14
049A044,6,12,43,0,4,192,8,7,2,45,3,1,0,14
049A045,16,50,21,1,0,83,11,1,0,16,8,7,0,12
049A046,11,85,25,1,3,59,24,3,6,24,1,2,1,17
049A047,19,7,22,1,0,192,4,3,2,11,1,0,0,5
049A048A,34,16,26,1,1,111,15,1,0,6,4,3,0,41
049A048B,25,14,26,0,0,150,20,3,0,10,7,1,0,38
049A049,41,15,34,8,1,130,17,22,3,38,23,6,0,28
049A050A,27,34,26,4,0,89,6,0,6,30,2,2,0,7
049A050B,23,39,45,6,0,79,6,4,2,9,0,2,0,23
049A051,0,0,13,22,2,0,0,0,4,0,2,0,0,12
049A052,12,23,18,9,0,71,4,1,16,8,3,1,1,20
049A053,99,13,15,1,4,270,17,0,0,2,1,0,0,27
049A054,16,23,34,7,4,103,20,19,1,59,4,1,1,22
049A055,12,23,54,7,0,83,32,28,4,38,7,3,5,39
049A056,0,9,7,0,0,109,38,12,0,5,3,0,0,9
049A057,0,93,15,1,0,23,3,4,4,1,0,0,0,7
049A058,0,0,5,0,3,72,20,1,0,8,3,0,0,14
049A059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
049A060,10,20,18,3,1,39,7,4,0,16,0,0,1,7
049A061,0,1,0,47,0,3,0,0,9,0,1,0,0,5
049A062,11,16,51,0,4,66,8,21,3,50,6,3,2,30
Ukupno,1150,1311,2595,480,117,6955,1166,524,253,1335,514,230,122,1748
