"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","NOVA BOSANSKOHERCEGOVAČKA PATRIOTSKA STRANKA","TUZLANSKA ALTERNATIVA","GRAĐANSKA SNAGA","MIRZA KARAĆ - NEZAVISNI KANDIDAT","GLASAM ZA TUZLU"
050A001,0,15,108,0,0,29,38,3,0,2,21,0,37,33,0,57,3,0,4
050A002,5,5,110,1,1,20,40,3,0,2,6,0,43,22,4,38,6,1,2
050A003,7,15,79,4,0,14,34,3,0,0,9,1,16,28,3,38,10,0,4
050A004,4,8,185,20,2,5,54,5,1,1,24,0,34,24,1,13,3,0,6
050A005,2,3,142,4,0,18,30,6,0,0,7,0,39,30,4,24,27,0,11
050A006,8,7,156,12,0,15,77,4,0,2,18,2,31,28,2,25,8,0,6
050A007,2,18,132,20,0,9,58,4,1,1,17,2,30,38,2,20,10,0,1
050A008,1,13,143,21,1,22,47,2,0,0,6,1,36,15,3,17,7,1,7
050A009,5,8,58,0,0,10,29,1,0,0,5,2,18,17,1,6,3,1,3
050A010,1,4,156,6,3,11,59,4,0,0,37,4,22,21,2,26,8,5,6
050A011,2,2,138,13,0,5,46,3,0,2,16,1,32,21,0,15,10,1,7
050A012,10,8,164,16,0,9,45,3,1,2,21,3,41,16,2,11,7,5,5
050A013,4,3,117,10,0,17,54,5,0,1,7,7,23,28,2,13,3,0,5
050A014,5,7,146,12,1,8,129,2,0,5,21,2,21,19,7,35,12,3,7
050A015,3,11,120,2,2,14,50,0,2,7,20,2,44,15,0,12,13,0,5
050A016,13,3,149,9,0,5,41,4,0,0,16,4,19,24,1,13,14,0,7
050A017,4,1,108,2,2,4,28,0,0,1,6,1,11,18,6,18,10,2,1
050A018,2,5,106,6,0,7,22,4,0,1,9,4,49,21,0,20,12,1,6
050A019,2,0,39,122,1,0,4,0,2,0,0,0,7,3,0,15,1,0,0
050A020,2,10,52,62,0,11,22,1,0,1,2,2,9,37,0,92,3,0,0
050A021,0,4,23,114,0,0,5,0,1,1,1,0,2,9,0,7,3,0,0
050A022,9,17,119,7,0,11,76,1,0,2,12,3,17,16,2,17,10,0,4
050A023,1,11,118,2,1,21,60,9,0,1,0,1,30,12,9,43,8,1,6
050A024,2,5,70,3,0,21,29,1,0,2,1,1,27,5,3,36,2,0,3
050A025,3,0,38,109,0,1,4,1,0,1,1,1,14,15,0,16,1,0,3
050A026,0,3,85,7,0,6,32,0,2,0,2,1,38,4,1,7,0,0,1
050A027,1,0,64,64,0,4,13,0,0,0,0,0,10,4,2,6,2,0,0
050A028,1,5,36,0,1,29,38,1,0,0,0,7,10,8,1,14,0,1,0
050A029,5,3,79,0,0,26,43,5,0,0,0,2,34,13,9,16,5,1,0
050A030,13,12,79,2,1,34,67,1,0,0,2,4,53,6,1,37,4,0,1
050A031,0,1,5,71,0,1,7,0,0,0,0,0,2,0,1,2,0,0,0
050A032,2,7,39,0,3,6,62,3,0,0,3,1,21,2,7,139,1,0,0
050A033,2,2,34,0,0,10,74,2,0,0,1,2,21,5,1,144,1,0,0
050A034,3,4,33,0,0,8,99,0,0,0,0,2,27,11,3,217,2,0,0
050A035,0,0,10,39,0,1,1,0,0,0,0,0,0,2,0,1,0,0,2
050A036,4,6,40,1,0,14,52,0,0,0,5,2,11,10,1,187,0,0,0
050A037,11,2,113,10,1,19,42,1,0,4,1,3,63,14,3,30,1,1,0
050A038,3,1,57,48,0,0,3,0,0,0,1,0,4,1,0,38,0,1,0
050A039,5,11,43,120,2,2,15,1,0,0,2,3,1,6,2,10,2,0,1
050A040,1,3,55,71,0,1,30,0,0,0,3,0,5,4,0,21,5,0,1
050A041,1,5,93,45,0,5,52,0,0,0,0,3,6,2,0,24,3,0,2
050A042,6,10,99,2,0,4,60,1,0,2,14,4,67,10,0,9,8,4,8
050A043,7,24,152,1,0,13,46,1,0,1,5,3,59,28,8,16,6,4,4
050A044,13,18,14,64,0,8,39,0,0,2,0,1,113,26,0,4,0,0,1
050A045,3,72,54,33,1,15,65,1,1,0,1,3,48,21,1,5,1,0,0
050A046,1,7,40,12,0,38,52,1,0,0,0,3,74,34,1,0,7,1,0
050A047,1,6,102,1,0,14,56,1,0,1,6,4,15,22,3,20,1,1,5
050A048,0,4,98,2,0,9,91,3,0,1,18,1,11,16,1,5,4,1,0
050A049,3,1,78,33,0,8,38,1,0,0,16,1,18,5,0,4,9,0,1
050A050,3,2,87,0,0,18,28,2,0,0,3,1,32,12,1,5,9,0,1
050A051,7,4,54,58,1,2,61,0,0,0,2,2,32,9,1,15,5,0,0
050A052,21,4,64,54,0,10,94,1,0,0,4,1,20,8,0,21,1,0,3
050A053,1,0,32,92,0,3,1,1,0,0,0,0,0,5,0,0,2,0,1
050A054,0,0,17,65,1,0,1,1,0,0,1,0,2,4,1,3,46,0,0
050A055,1,7,35,100,2,0,5,0,0,0,0,0,2,2,0,13,4,0,1
050A056,3,19,30,1,0,23,86,0,0,0,0,5,95,31,2,14,4,0,0
050A057,0,10,28,96,1,3,61,0,0,1,1,6,12,2,5,23,6,0,1
050A058,1,0,31,126,1,0,22,1,0,1,2,1,7,6,3,16,1,0,0
050A059,3,6,62,0,0,6,81,1,0,0,5,1,34,19,6,78,0,0,5
050A060,10,3,100,10,1,8,49,3,1,0,12,0,24,16,0,27,6,2,2
050A061,12,21,100,8,2,12,59,0,0,0,8,1,67,27,13,18,0,0,9
050A062,5,0,61,7,0,26,85,0,0,3,7,0,30,18,3,29,5,1,2
050A063,7,4,84,3,1,22,36,2,2,4,18,1,37,13,5,44,2,1,1
050A064,3,11,99,20,1,12,41,1,0,1,9,6,35,20,2,28,5,0,1
050A065,0,9,109,1,0,24,53,2,1,1,9,0,102,10,1,27,12,0,2
050A066,17,10,106,1,0,23,38,5,0,2,9,1,72,17,0,54,13,0,8
050A067,5,11,139,10,0,10,73,1,1,0,13,1,39,23,1,16,12,0,6
050A068,3,10,101,6,0,11,64,2,1,0,7,1,31,13,0,17,4,0,7
050A069,6,2,82,0,0,16,53,1,0,0,3,0,33,14,2,23,6,0,1
050A070,5,16,88,11,3,30,47,0,0,3,10,1,24,18,2,19,5,1,2
050A071,5,0,39,22,0,48,101,2,0,1,0,2,7,11,3,13,18,0,1
050A072,8,1,23,1,1,109,73,1,0,0,2,4,11,3,2,4,7,0,0
050A073,23,23,36,14,0,97,114,1,0,1,3,5,17,27,1,30,28,0,0
050A074,5,1,170,7,1,11,41,2,0,4,15,2,29,26,3,9,4,0,3
050A075,0,0,108,5,0,14,28,10,0,1,14,4,15,18,2,12,7,0,1
050A076,13,7,146,6,0,24,62,1,0,3,22,7,29,14,2,16,12,2,7
050A077,3,14,143,8,0,13,44,3,0,2,13,4,41,22,8,16,15,2,2
050A078,7,5,162,14,2,18,41,4,1,2,19,0,22,14,5,14,24,2,9
050A079,6,3,226,7,2,25,79,2,3,3,39,1,49,27,11,11,12,3,9
050A080,0,0,9,119,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
050A081,73,42,118,2,1,17,41,2,0,1,5,10,84,45,3,14,3,0,3
050A082,2,5,57,0,4,8,115,0,0,0,1,2,108,20,1,3,1,0,0
050A083,0,3,40,0,0,4,67,0,0,0,0,0,13,2,0,3,0,0,0
050A084,0,5,69,1,0,10,120,0,0,1,2,0,28,5,1,8,0,0,0
050A085,0,1,44,81,0,0,2,0,0,0,1,0,2,0,0,1,0,0,1
050A086,1,1,25,82,0,1,12,1,0,0,0,0,10,3,1,2,1,0,2
050A087,0,0,24,95,0,1,0,0,0,0,1,0,1,4,0,0,1,0,0
050A088,2,6,83,2,2,6,44,0,0,6,5,4,40,18,5,65,1,2,3
050A089,5,11,32,2,0,6,134,5,0,3,0,8,25,11,5,126,1,2,0
050A090A,0,3,11,0,0,14,40,0,0,1,0,2,10,3,0,80,0,0,1
050A090B,2,9,4,0,0,4,60,0,0,0,0,1,3,1,0,74,1,1,1
050A091,0,13,28,5,0,6,66,0,0,3,2,5,13,27,4,164,1,0,0
050A092A,0,8,44,0,0,4,53,2,0,0,1,1,27,12,1,45,0,0,0
050A092B,4,0,27,0,0,3,34,0,0,1,2,5,56,4,0,42,0,0,0
050A093,0,5,40,1,0,1,9,4,1,0,0,1,8,1,1,35,7,0,0
050A094,4,8,184,5,0,17,50,4,0,8,22,1,33,25,2,8,17,0,16
050A095,8,8,189,11,1,17,60,3,0,3,22,3,30,18,1,14,9,1,13
050A096,5,1,167,8,1,13,36,1,0,0,18,0,21,18,1,15,3,0,5
050A097,2,2,154,10,0,20,36,5,0,1,9,0,22,14,0,15,8,2,4
050A098,0,4,215,9,0,23,40,7,1,3,13,5,22,28,2,11,13,3,10
050A099,5,9,170,5,1,25,61,4,2,3,14,2,31,18,5,14,7,0,27
050A100,3,5,50,3,0,10,30,0,0,0,6,5,12,12,0,13,3,0,2
050A101,13,9,123,17,1,13,72,2,0,4,12,2,46,47,1,21,7,0,9
050A102,9,10,74,10,0,11,81,4,0,2,9,8,13,13,3,24,4,0,7
050A103,8,6,152,6,1,6,69,6,0,11,13,2,46,29,2,41,4,1,7
050A104,3,3,83,27,0,2,45,3,0,3,7,8,22,9,11,18,6,1,4
050A105,11,10,65,1,1,27,121,3,0,2,7,5,45,38,1,47,3,1,2
050A106A,11,5,94,2,0,11,61,5,0,2,6,0,26,23,0,8,12,1,2
050A106B,4,8,89,2,0,18,51,7,0,3,12,1,39,27,3,13,11,1,3
050A107,15,16,109,1,2,17,98,10,0,7,13,8,51,21,0,19,14,3,4
050A108,0,2,108,1,3,16,44,2,0,2,8,3,24,20,0,17,6,1,4
050A109,3,12,75,1,0,21,85,5,1,2,10,1,31,18,3,22,4,0,0
050A110,15,3,112,8,0,8,40,3,0,1,18,3,53,24,5,30,4,1,0
050A111,7,13,81,4,0,27,51,2,0,1,14,10,50,23,4,14,21,0,1
050A112,7,1,63,3,1,20,37,3,0,5,9,3,28,20,6,38,13,4,3
