"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","SRPSKA NAPREDNA STRANKA","SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","POVRATAK OTPISANIH"
054B001,0,39,0,0,0,49,6,97,0,2,0,1,0,0,0
054B002,155,5,0,1,38,3,12,1,1,0,0,0,0,0,0
054B003,0,148,0,38,0,43,70,58,0,29,1,18,2,0,0
054B004,0,164,0,48,0,47,84,92,1,41,0,26,3,0,0
054B005,0,216,0,72,0,59,53,99,0,28,0,6,0,0,0
054B006,0,110,0,16,0,17,68,20,0,1,0,1,2,0,0
054B007,2,220,0,8,0,12,59,65,0,10,0,24,0,0,0
054B008,0,95,0,27,0,132,50,75,0,9,0,5,2,0,0
054B009,0,96,0,5,0,64,11,57,0,0,0,0,0,0,0
054B010A,0,171,0,19,0,33,96,71,0,8,0,2,2,0,0
054B010B,0,165,0,32,0,29,95,118,0,3,0,8,0,0,0
054B011,0,79,0,7,0,47,134,51,0,4,0,1,0,0,0
054B012,0,128,0,55,0,6,45,33,0,7,0,3,0,0,0
054B013,0,89,0,7,0,36,21,88,0,14,0,7,1,0,0
054B014,0,226,0,35,0,89,159,95,0,45,0,5,8,0,0
054B015,0,76,0,21,0,85,40,142,0,18,0,5,1,0,0
054B016,0,130,0,44,0,26,46,52,0,30,0,5,7,0,0
054B017,0,118,0,11,0,21,24,31,0,7,0,5,2,0,0
054B018,0,53,0,3,0,68,18,14,0,4,0,16,3,0,0
054B019,1,73,0,1,0,5,116,16,0,1,0,2,1,0,0
054B020,0,151,0,4,0,31,19,12,0,13,0,0,0,0,0
054B021,0,15,0,5,0,38,15,33,0,11,0,2,0,0,0
054B022,0,75,0,22,1,26,26,51,0,13,0,19,1,0,0
Ukupno,158,2642,0,481,39,966,1267,1371,2,298,1,161,35,0,0
