"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","NARODNA STRANKA RADOM ZA BOLJITAK","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SBB - FAHRUDIN RADONČIĆ","REGIONALNI DEMOKRATSKI SAVEZ TUZLA"
055A001A,8,8,37,263,0,11,6,0
055A001B,8,29,38,305,0,33,5,0
055A001C,0,17,8,187,0,9,1,2
055A002A,7,36,89,261,0,39,4,23
055A002B,1,19,73,162,0,32,2,7
055A003,2,26,113,243,5,23,0,1
055A004,2,7,24,338,1,32,34,0
055A005,2,20,75,205,0,22,13,1
055A006,0,6,10,194,1,11,10,5
Ukupno,30,168,467,2158,7,212,75,39
