"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA RADIKALNA STRANKA ""9. JANUAR""","SRPSKA NAPREDNA STRANKA",NS,"SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE","SLOBODAN RADOVANOVIĆ - NEZAVISNI KANDIDAT","POKRET USPJEŠNA SRPSKA","RADIVOJE LUKIĆ - NEZAVISNI KANDIDAT","ĐOKO TODOROVIĆ - NEZAVISNI KANDIDAT","GORAN GAJIĆ - NEZAVISNI KANDIDAT","SLAVKO PAVLOVIĆ - NEZAVISNI KANDIDAT","SLAĐAN CVJETINOVIĆ - NEZAVISNI KANDIDAT","GORAN MILJANOVIĆ - NEZAVISNI KANDIDAT","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH"
056B001,0,92,128,46,0,62,50,101,1,1,17,0,12,6,0,27,0,1,0,0,0,0,0
056B002,0,67,118,40,0,59,74,70,0,0,15,0,33,7,2,27,0,0,0,0,0,0,0
056B003,0,54,152,27,0,80,162,104,1,0,11,0,39,38,3,48,0,0,0,0,0,0,0
056B004,0,56,137,23,0,80,114,83,0,0,20,0,17,7,24,16,0,0,0,0,0,0,0
056B005,0,49,124,17,0,12,41,65,0,0,10,0,11,8,2,11,0,0,0,0,0,0,0
056B006,0,69,143,13,0,24,70,85,0,0,14,0,49,9,8,24,0,0,0,0,0,0,0
056B007,0,4,135,11,0,25,24,71,0,0,4,0,6,21,0,17,0,0,0,0,0,0,0
056B008,3,1,0,2,173,1,17,6,0,0,10,0,4,0,0,1,0,1,0,0,0,0,0
056B009,2,0,5,0,103,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
056B010,0,95,198,11,0,44,112,119,0,0,12,0,30,17,0,20,0,0,0,0,0,0,0
056B011,0,60,110,10,0,39,67,82,0,0,8,0,27,5,1,17,0,0,0,0,0,0,0
056B012,0,11,68,18,0,5,21,35,0,0,7,0,7,2,0,3,0,0,0,0,0,0,0
056B013,0,6,104,2,0,3,20,52,0,0,7,0,4,5,0,2,0,0,0,0,0,0,0
056B014,0,164,145,56,0,39,91,93,0,0,39,0,29,6,0,16,0,0,0,0,0,0,0
056B015,0,69,50,1,0,13,42,59,0,0,6,0,17,4,0,4,0,0,0,0,0,0,0
056B016A,0,99,84,8,0,42,75,53,0,0,3,0,6,1,0,12,0,0,0,0,0,0,0
056B016B,0,108,82,5,0,38,40,32,0,0,22,0,3,2,1,11,0,0,0,0,0,0,0
056B017,0,20,124,6,0,33,44,62,0,0,14,0,8,0,0,20,0,0,0,0,0,0,0
056B018A,0,7,119,110,0,11,28,53,0,0,18,0,21,3,0,2,0,0,0,0,0,0,0
056B018B,0,3,132,75,0,17,28,59,0,0,12,0,3,5,0,0,0,0,0,0,0,0,0
056B019,0,0,23,19,0,2,15,14,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
056B020,0,0,76,3,0,13,21,16,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0
056B021,0,177,158,36,0,40,57,85,0,0,15,0,4,10,0,19,0,0,0,0,0,0,0
056B022,3,9,0,0,111,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
056B023,9,1,6,3,80,1,14,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
056B024,0,7,59,27,0,4,3,18,0,0,3,0,7,1,0,0,0,0,0,0,0,0,0
056B025,0,3,51,6,0,3,52,35,0,0,0,0,56,6,0,11,0,0,0,0,0,0,0
056B026,0,39,27,3,0,2,5,22,0,0,54,0,17,1,0,0,0,0,0,0,0,0,0
056B027,0,69,103,40,0,50,80,101,0,0,4,0,7,12,5,15,0,0,0,0,0,0,0
Ukupno,17,1339,2661,618,467,744,1376,1594,2,1,332,0,451,176,46,324,0,2,0,0,0,0,0
