"Biračko Mjesto","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","SRPSKA NAPREDNA STRANKA"
057A001,29,7,11,7,26,155,26,117
057A002,30,2,21,9,37,112,38,121
057A003,9,2,15,14,22,89,11,26
057A004,75,7,13,5,39,121,55,99
057A005,17,3,20,17,70,92,27,83
057A006,30,1,20,16,44,73,11,85
057A007,1,3,0,1,16,130,1,32
057A008,1,0,1,6,20,57,0,81
057A009,0,0,0,1,8,29,0,25
057A010,4,4,3,16,46,203,12,99
057A011,6,1,11,22,35,112,13,95
057A012,0,0,1,0,1,10,0,2
057A013,8,0,41,19,58,148,11,86
057A014,2,0,6,1,8,33,1,17
057A015,1,1,1,0,13,47,1,7
057A016,0,0,0,0,0,10,1,21
Ukupno,213,31,164,134,443,1421,208,996
