"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","POVRATAK OTPISANIH"
059A001,40,4,143,60,40,33,70,0
059A002,34,8,132,98,67,34,34,0
059A003,17,12,107,91,76,19,35,0
059A004,17,30,72,64,64,28,39,0
059A005,9,7,119,179,46,73,10,0
059A006,8,11,104,61,88,23,20,0
059A007A,5,3,100,65,22,27,19,0
059A007B,13,0,40,99,27,8,14,0
059A008,11,0,35,54,73,16,50,0
059A009,7,10,67,80,40,32,12,0
059A010A,3,13,23,132,36,7,8,0
059A010B,5,34,10,67,37,11,3,0
059A011,26,8,6,74,29,14,28,0
059A012,8,11,116,82,24,29,30,0
059A013,48,19,120,75,71,31,39,0
059A014,8,9,124,78,91,17,23,0
059A015,1,1,86,33,10,2,9,0
059A016,9,13,50,128,16,43,19,0
059A017,10,22,76,98,78,18,28,0
059A018,5,9,87,47,49,16,24,0
059A019,13,11,135,68,47,38,41,0
Ukupno,297,235,1752,1733,1031,519,555,0
