"Biračko Mjesto","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SDS-SRPSKA DEMOKRATSKA STRANKA-SRPSKA RADIKALNA STRANKA RS","NDP - JNS RIBNIK"
061B001,100,2,144,245,104,22
061B002,6,4,12,17,10,4
061B003,21,0,6,18,6,2
061B004,14,3,20,121,100,26
061B005,2,0,33,153,109,6
061B006,0,0,51,97,9,3
061B007,64,6,132,213,98,58
061B008,14,9,74,103,55,52
061B009,25,13,101,158,42,29
061B010,6,0,29,93,41,18
061B011,1,0,38,61,80,3
061B012,3,1,8,109,75,0
061B013,4,0,10,82,19,0
061B014,1,0,28,44,27,2
061B015,17,0,57,123,37,2
061B016,36,2,45,205,50,35
Ukupno,314,40,788,1842,862,262
