"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","DNS-DEMOKRATSKI NARODNI SAVEZ","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","ŽELJKO KOVAČ - NEZAVISNI KANDIDAT","ZORAN BILANDŽIJA - NEZAVISNI KANDIDAT","KOALICIJA ZA JAJCE (HNS BIH I HSP BIH)","ZAJEDNO ZA BOLJE SUTRA JAJCU - HDZ BIH, HDZ 1990, HKDU BIH"
065A000,0,0,0,0,0,0,0,0,0,0,1
065A001,6,11,22,81,4,16,30,0,0,34,128
065A002,1,3,19,52,5,10,13,0,2,20,132
065A003,4,10,26,52,3,15,15,0,0,13,190
065A004,3,42,25,151,0,16,40,0,0,8,43
065A005,6,23,29,88,2,7,9,0,1,18,151
065A006,4,19,23,119,0,19,14,0,0,7,164
065A007,2,14,7,62,0,1,2,0,0,23,299
065A008,3,29,23,92,1,13,14,0,0,22,133
065A009,6,35,50,168,0,35,17,1,0,14,55
065A010,4,10,11,128,0,5,6,0,0,5,114
065A011,0,3,2,11,0,6,6,2,0,6,82
065A012A,6,18,71,267,1,80,20,0,0,1,4
065A012B,0,25,61,162,1,66,7,0,0,4,4
065A013,2,18,7,313,0,28,7,0,0,7,100
065A014,0,9,10,204,0,12,10,0,0,6,68
065A015,1,12,25,458,0,113,2,1,0,0,1
065A016,1,3,1,45,0,47,1,0,0,18,68
065A017,10,8,11,66,0,2,37,0,1,28,253
065A018,2,22,8,111,0,6,1,0,0,5,221
065A019,3,1,8,77,0,3,4,0,0,13,150
065A020,1,10,4,80,5,7,5,0,0,12,258
065A021,7,55,2,266,1,2,0,1,0,0,2
065A022,13,17,4,234,0,14,5,0,0,34,115
065A023,2,103,18,191,3,32,23,0,0,1,43
065A024,0,2,26,0,5,4,4,0,0,16,310
065A025,2,43,33,81,4,21,4,0,0,3,160
065A026,0,2,4,146,0,4,3,0,0,21,178
065A027,0,26,6,276,0,62,6,0,0,0,7
065A028,1,18,16,53,6,8,12,0,2,15,140
065A029,0,6,13,29,23,4,1,0,0,5,8
065A030,4,8,5,54,1,37,7,0,0,0,0
065A031,0,0,15,68,0,20,10,0,0,26,160
065A032,0,0,0,31,3,0,0,0,0,6,124
065A033,0,0,2,4,0,1,1,0,0,2,95
065A034,0,21,1,38,0,2,6,0,0,6,75
065A035,0,3,16,89,0,18,0,0,0,3,63
Ukupno,94,629,604,4347,68,736,342,5,6,402,4099
