"Biračko Mjesto","STRANKA SPAS","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA","STRANKA SOCIJALNE SIGURNOSTI SRPSKIH BORACA",NS,"NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE","UJEDINJENA SRPSKA",SDA/SBB,"SDS-SRPSKA DEMOKRATSKA STRANKA-SRPSKA RADIKALNA STRANKA RS"
068B001,21,113,22,35,52,70,127,0,84,38,11,18,5,29
068B002,23,40,48,36,27,54,51,0,89,24,11,15,32,27
068B003,14,65,16,38,72,110,107,0,42,23,11,32,3,42
068B004,22,89,25,72,65,99,92,0,76,35,10,34,4,40
068B005,0,5,4,3,1,8,0,0,4,21,0,10,0,1
068B006,2,22,17,24,79,67,12,0,75,115,3,33,0,16
068B007,14,2,3,11,17,9,6,0,132,3,0,9,0,8
068B008,6,6,8,4,10,20,2,0,19,1,1,0,0,6
068B009,0,15,16,0,2,18,35,0,12,3,1,4,0,6
068B010,4,26,8,2,5,17,10,0,15,7,0,13,0,7
068B011,7,33,5,4,16,47,26,0,37,8,7,5,0,7
068B012,27,22,6,32,20,45,26,0,25,7,2,34,0,34
068B013,1,25,17,18,26,45,28,0,17,2,2,9,1,12
068B014,4,33,1,56,23,59,91,0,16,9,5,12,1,25
068B015,0,9,0,25,1,56,15,0,8,7,0,0,0,1
068B016,2,62,22,3,44,44,26,0,10,10,4,4,0,19
068B017,4,32,22,59,71,147,92,0,40,5,18,19,0,75
068B018,9,36,38,32,29,176,67,0,10,24,2,18,0,62
068B019,9,10,0,7,12,28,45,0,9,1,0,2,0,68
068B020,2,20,0,6,25,74,157,102,0,10,2,11,1,11
068B021,24,20,1,9,2,30,18,0,6,0,4,3,0,16
068B022,1,1,0,5,9,16,2,0,28,4,0,3,0,9
Ukupno,196,686,279,481,608,1239,1035,102,754,357,94,288,47,521
