"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","HRVATSKA STRANKA PRAVA HERCEG-BOSNE","DEMOKRATSKA FRONTA"
075A001,0,1,366,0,0,50,0,0,1,0
075A002,0,0,375,0,4,57,0,0,0,1
075A003,9,23,0,145,2,0,13,10,0,3
075A004,0,0,103,0,0,9,0,1,0,0
075A005,31,93,1,247,2,0,101,1,1,22
075A006,1,0,299,0,0,8,0,0,0,0
075A007,0,7,294,70,2,35,32,15,0,0
075A008,1,5,393,3,5,12,0,2,6,1
075A009,0,39,1,393,7,0,40,18,0,7
075A010,0,0,226,4,9,3,0,0,2,2
075A011,7,53,100,102,5,26,22,24,1,32
075A012,19,86,46,171,5,8,16,45,0,24
075A013,0,22,369,31,4,30,3,2,5,1
075A014,7,79,27,176,7,4,12,58,1,16
075A015,0,0,119,0,2,20,0,0,1,0
075A016,11,4,191,24,0,56,0,0,5,0
075A017,1,3,253,2,1,3,1,0,1,1
075A018,0,1,171,0,7,55,0,0,0,0
075A019,0,1,170,0,0,10,0,0,0,0
075A020,0,2,147,2,1,14,0,0,4,1
075A021,0,1,248,0,0,1,0,1,0,1
075A022,0,1,200,1,0,81,0,0,0,0
075A023A,1,57,3,227,0,0,19,25,0,11
075A023B,3,69,0,190,3,0,24,28,0,18
075A024A,5,20,84,115,7,12,17,6,1,1
075A024B,0,5,143,49,12,22,5,0,0,0
075A025,22,60,0,267,1,0,71,15,0,40
075A026,8,86,148,32,10,25,1,29,0,6
075A027,0,1,242,0,2,20,0,0,1,0
075A028,80,33,0,163,5,0,133,1,0,4
075A029,3,91,133,49,6,15,1,29,2,5
075A030,14,39,153,68,7,6,9,11,1,16
075A031,0,31,40,0,0,9,0,0,0,1
075A032,0,0,131,0,0,2,0,0,1,0
075A033,0,0,217,0,3,27,0,0,0,0
075A034,0,9,29,91,1,14,3,7,0,1
075A035,17,81,74,86,14,16,21,52,2,14
075A036,0,1,100,0,0,7,0,0,8,0
Ukupno,240,1004,5596,2708,134,657,544,380,44,229
