"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","LIBERALNO DEMOKRATSKA STRANKA BIH","NARODNA STRANKA RADOM ZA BOLJITAK","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","ADIS BEGANOVIĆ - NEZAVISNI KANDIDAT","DENIS ĆASUROVIĆ - NEZAVISNI KANDIDAT"
079A001,12,36,28,0,0,7,224,8,0,3,0,43,0,47,0,0,0
079A002,19,57,26,0,3,3,104,22,0,3,12,46,0,44,0,0,0
079A003,28,86,28,0,0,4,207,27,0,4,6,80,2,68,0,0,0
079A004,12,10,67,0,0,6,56,3,0,0,0,83,0,57,0,0,0
079A005A,22,21,56,0,1,16,82,4,0,1,1,95,1,69,1,0,0
079A005B,11,12,42,0,0,12,71,10,0,0,2,121,0,65,2,0,0
079A006,21,37,52,0,5,10,88,103,0,0,3,17,1,44,0,0,0
079A007,120,19,67,0,6,12,69,45,0,1,8,112,1,46,0,0,0
079A008A,23,6,71,1,0,6,164,24,0,0,1,22,3,32,7,0,0
079A008B,38,8,78,0,0,14,144,47,0,3,5,28,1,38,1,0,0
079A009A,8,7,135,0,0,4,96,25,0,1,1,30,1,40,8,0,0
079A009B,11,9,143,1,0,15,115,13,0,1,1,39,0,41,5,0,0
079A010,4,2,46,2,0,7,98,7,0,2,5,36,1,40,2,0,0
079A011A,14,20,96,2,0,9,133,8,0,0,0,76,0,133,0,0,0
079A011B,18,9,77,1,0,6,126,22,0,3,6,76,0,82,3,0,1
079A012,34,5,46,0,0,14,90,14,0,1,10,32,0,52,4,0,0
079A013,103,19,81,1,0,28,290,14,0,0,4,39,3,68,6,0,0
079A014,13,35,107,0,0,31,121,5,0,3,15,11,1,41,9,0,0
079A015,15,21,65,2,0,18,136,11,0,1,10,26,1,53,19,0,0
079A016,25,12,51,0,0,16,164,2,0,0,6,16,1,41,10,0,0
079A017,23,39,25,0,0,7,125,11,0,1,13,6,0,72,5,0,0
079A018,25,38,89,0,1,20,144,28,0,3,20,13,0,66,17,1,0
079A019,20,54,60,3,0,16,155,35,0,4,25,19,0,41,7,0,0
079A020,13,16,175,0,0,4,74,5,0,0,24,3,0,100,0,0,0
079A021,47,21,23,2,5,3,126,7,0,0,5,28,1,77,4,0,0
079A022,53,37,27,2,0,16,141,5,0,3,3,25,2,82,8,2,0
079A023,34,17,75,3,5,7,249,25,0,0,3,43,0,91,0,0,0
079A024,32,12,87,0,0,6,181,5,0,1,5,11,1,30,4,0,0
079A025,70,25,73,0,0,6,215,5,0,0,10,22,3,65,2,0,0
079A026,26,6,137,7,0,12,111,5,0,2,22,14,6,43,4,0,0
079A027,51,5,136,44,1,12,125,7,0,3,35,15,4,52,2,1,0
079A028,26,5,66,0,0,25,93,3,0,1,98,9,0,52,6,0,0
079A029,45,21,57,0,0,42,138,3,0,0,50,18,1,67,1,0,0
079A030,5,12,40,128,0,9,30,4,0,0,3,25,0,13,42,0,0
079A031,57,14,74,17,0,38,76,2,0,1,6,28,0,43,31,0,0
079A032,29,9,42,30,0,33,46,5,0,0,12,36,0,36,34,0,0
079A033,29,27,112,6,0,39,105,19,0,4,6,30,1,83,18,0,0
079A034,23,21,34,3,0,70,102,3,0,3,3,110,3,31,8,0,0
079A035A,15,13,16,1,0,61,72,5,0,1,5,102,2,38,7,0,0
079A035B,26,32,17,2,0,57,101,1,0,1,3,114,0,24,5,0,0
079A036,31,192,59,0,0,21,71,4,0,11,1,47,0,37,1,1,0
079A037,30,207,74,0,0,19,93,2,0,3,11,52,2,35,4,0,0
079A038,21,115,35,0,0,11,67,0,0,0,4,55,1,41,10,0,0
079A039,20,116,58,16,0,14,148,3,0,5,16,8,0,43,5,0,0
079A040,35,86,32,4,0,49,193,5,0,11,6,24,0,81,6,0,0
079A041A,59,80,35,1,0,25,165,3,0,4,4,18,1,59,6,0,0
