"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","GRAÐANSKA DEMOKRATSKA STRANKA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","FAHRUDIN MEŠANOVIĆ - NEZAVISNI KANDIDAT","NEZAVISNA LISTA - SEAD DŽAFIĆ"
080A001,17,44,75,43,0,1,54,1,0,0,8,23,10,0,79
080A002,28,69,86,21,0,0,53,4,0,0,3,11,8,0,76
080A003,33,54,65,40,0,0,56,0,0,0,7,19,10,0,78
080A004,16,43,57,18,0,1,47,4,0,0,1,14,4,0,59
080A005A,12,36,58,17,0,0,99,1,0,0,12,19,18,0,62
080A005B,16,25,76,27,0,0,51,3,0,0,7,9,4,0,54
080A006A,40,57,16,50,0,0,30,0,0,0,10,7,2,0,15
080A006B,33,42,17,31,0,1,58,0,0,0,13,14,2,0,43
080A007A,19,35,58,18,0,0,59,4,0,0,11,20,3,0,63
080A007B,26,62,37,11,1,0,114,2,0,0,29,8,0,0,45
080A007C,41,43,46,22,0,0,85,2,0,0,13,10,7,0,48
080A008,8,32,33,19,0,0,65,1,0,0,10,11,14,0,116
080A009A,30,53,74,40,0,0,86,3,0,0,36,23,3,4,64
080A009B,20,36,75,39,0,1,124,12,0,0,21,8,2,0,121
080A009C,20,35,79,52,2,5,51,0,0,0,29,6,1,0,68
080A010A,30,35,36,81,0,1,43,3,0,0,7,16,5,0,44
080A010B,21,28,29,57,0,0,26,1,0,0,7,2,1,0,39
080A011A,28,111,15,25,0,0,60,0,0,0,4,7,0,0,107
080A011B,39,68,29,76,0,1,54,0,0,0,9,4,3,1,141
080A011C,28,82,14,21,0,0,42,10,0,0,8,1,0,0,90
080A012A,40,70,66,62,0,9,68,15,0,1,33,16,9,2,106
080A012B,29,37,41,47,1,4,53,6,0,0,25,4,13,0,24
080A012C,11,37,17,31,0,0,57,26,0,0,16,6,3,0,55
080A013,2,15,10,0,0,0,3,0,0,0,1,0,0,0,0
080A014A,22,45,36,72,0,21,130,1,0,0,18,18,2,0,96
080A014B,9,37,18,26,0,5,103,5,0,0,10,28,0,4,22
080A014C,14,95,25,25,0,17,84,3,0,0,6,10,1,4,70
080A014D,18,34,34,32,0,21,74,1,0,0,8,11,1,0,66
080A015A,23,39,66,32,0,10,130,8,0,0,73,52,0,6,75
080A015B,15,27,64,45,0,4,101,3,0,0,52,31,1,13,35
080A015C,13,25,46,32,0,4,66,3,0,0,33,50,0,2,40
080A016A,13,20,113,43,0,4,81,0,0,0,21,24,3,3,59
080A016B,33,28,97,29,0,2,81,9,0,0,8,14,3,0,85
080A016C,36,60,51,22,0,3,134,8,1,0,18,11,2,0,30
080A016D,28,43,91,25,1,8,99,2,0,1,24,33,2,0,32
080A017A,60,89,39,5,0,3,88,3,0,0,19,29,0,0,53
080A017B,66,72,43,10,3,0,152,3,0,0,24,26,3,0,60
080A018A,43,42,16,8,1,0,111,3,0,0,5,1,0,2,22
080A018B,34,69,48,14,1,1,86,5,0,0,2,3,0,0,23
080A019,48,27,22,15,0,1,134,3,0,0,2,2,0,0,27
080A020,135,12,24,27,0,0,109,11,0,1,25,14,1,0,16
080A021,147,26,27,31,0,0,39,0,0,1,1,5,8,0,55
080A022,40,7,4,147,1,0,50,0,0,0,0,0,3,0,12
080A023A,18,23,72,25,0,0,80,4,0,0,4,35,1,0,56
080A023B,18,18,68,46,1,0,49,5,0,0,4,20,6,0,34
080A023C,8,18,67,31,0,0,47,0,0,0,2,38,1,0,22
080A024,41,12,56,35,0,0,98,0,0,0,5,2,1,0,7
080A025,19,13,20,10,0,0,90,0,0,0,0,1,0,0,18
080A026A,48,25,117,21,0,0,97,1,1,0,2,8,5,0,39
080A026B,42,27,87,15,0,0,54,5,1,0,1,10,2,0,30
080A027,87,38,25,13,0,0,33,0,0,0,3,12,1,0,40
Ukupno,1665,2120,2485,1684,12,128,3838,184,3,4,690,746,169,41,2721
