"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","SBB - FAHRUDIN RADONČIĆ","SNAGA EKONOMSKOG POKRETA U BOSNI I HERCEGOVINI","JUSUF ALIĆ - NEZAVISNI KANDIDAT","ŠEMSUDIN BEŠIĆ - NEZAVISNI KANDIDAT","ASIM HASANOVIĆ - NEZAVISNI KANDIDAT"
082A001A,72,0,174,3,0,0,0,0
082A001B,118,3,271,0,2,0,0,0
082A002,188,7,235,15,0,0,0,0
082A003,132,37,300,5,0,0,0,0
082A004,112,24,281,6,0,0,0,0
082A005A,137,12,311,32,0,0,0,0
082A005B,78,36,249,9,0,1,0,0
082A005C,66,29,167,17,0,0,0,0
082A006,64,2,113,151,0,0,0,0
082A007A,120,9,272,58,0,0,0,0
082A007B,113,12,212,53,0,0,0,0
082A007C,117,0,224,22,0,0,0,0
082A008,289,15,227,16,0,0,0,0
082A009,90,12,217,18,0,0,0,0
082A010,20,6,33,0,0,0,0,0
Ukupno,1716,204,3286,405,2,1,0,0
