"Biračko Mjesto","BPS-SEFER HALILOVIĆ","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","SRPSKA RADIKALNA STRANKA ""9. JANUAR""","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","SRPSKA NAPREDNA STRANKA","NAPREDNA SRPSKA","MILOŠ TOMIĆ - NEZAVISNI KANDIDAT",NS,"DEMOKRATSKA FRONTA","PRVA STRANKA","SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SNAGA NARODA","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","SRS-SRPSKA U SIGURNE RUKE","JOVO MATIĆ - NEZAVISNI KANDIDAT","BRANISLAV MILOVANOVIĆ - NEZAVISNI KANDIDAT","DRAŽAN JOVIĆ - NEZAVISNI KANDIDAT","MILENKO JOVANOVIĆ - NEZAVISNI KANDIDAT","MIRKO MOJIĆ - NEZAVISNI KANDIDAT","VANJA KOSTIĆ - NEZAVISNI KANDIDAT","MLADEN NIKOLIĆ - NEZAVISNI KANDIDAT","SNEŽANA MIHAJLOVIĆ - NEZAVISNI KANDIDAT","SINIŠA RADIĆ - NEZAVISNI KANDIDAT","VLADAN LUKIĆ - NEZAVISNI KANDIDAT","MILKO STOJANOVIĆ - NEZAVISNI KANDIDAT","DRAGANA SPASIĆ - NEZAVISNI KANDIDAT","DEJAN FILIPOVIĆ - NEZAVISNI KANDIDAT","LJUBOMIR TIJANIĆ - NEZAVISNI KANDIDAT","ANDRIJANA MIĆIĆ - NEZAVISNI KANDIDAT","SANJA LAZAREVIĆ - NEZAVISNI KANDIDAT","NIKOLA MLAĐENOVIĆ - NEZAVISNI KANDIDAT",SDA/SBB,"SDS-SRPSKA DEMOKRATSKA STRANKA-SRPSKA RADIKALNA STRANKA RS"
083B001,2,8,0,45,22,97,193,0,2,0,17,2,0,2,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,61
083B002A,0,0,0,27,3,39,104,0,0,0,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
083B002B,5,7,0,19,3,53,120,0,1,0,7,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30
083B003,0,0,0,60,12,79,203,0,0,0,16,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
083B004,1,0,0,16,10,96,163,0,0,0,19,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55
083B005,0,2,0,90,21,88,167,0,0,0,21,0,0,0,0,0,2,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38
083B006,2,9,0,25,4,51,150,0,0,0,20,0,0,0,9,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,43
083B007,0,0,0,18,7,78,120,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
083B008,0,2,0,23,22,74,133,0,0,0,14,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42
083B009,1,3,0,41,25,80,160,0,0,0,9,0,0,1,1,0,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,58
083B010,0,7,0,32,11,78,172,0,0,0,13,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72
083B011,29,77,0,0,5,0,5,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
083B012,0,9,0,27,0,2,27,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11
083B013,4,2,1,2,0,3,1,0,0,0,3,0,0,0,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5
083B014,7,19,0,4,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,8
083B015,20,27,0,51,0,100,47,0,0,0,28,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,23
083B016,0,8,0,43,17,59,101,0,0,2,19,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19
083B017,0,24,0,35,29,19,134,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
083B018,0,0,0,0,4,25,26,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
083B019,30,22,0,11,0,5,17,0,0,0,18,0,0,0,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1
083B020A,0,0,0,60,21,75,286,0,0,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
083B020B,0,3,0,72,34,75,215,0,0,0,23,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
083B020C,0,0,0,81,39,73,193,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
083B020D,0,3,0,20,31,31,103,0,0,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
083B021,0,2,0,42,7,94,187,0,0,0,26,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,45
083B022,3,7,0,69,21,91,135,0,1,0,8,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65
083B023,40,169,0,12,10,13,12,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,20
083B024,0,6,0,12,0,156,102,0,0,0,0,0,0,0,0,0,0,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
083B025,0,10,0,16,3,69,75,0,0,0,4,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23
083B026,3,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0
083B027,0,40,0,7,2,117,72,0,0,0,11,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16
083B028,2,52,0,11,5,2,31,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
083B029,0,46,0,9,2,15,105,0,0,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,26
083B030,0,0,0,53,15,24,240,0,0,0,14,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
083B031,0,6,0,3,7,120,210,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
083B032A,6,6,0,15,9,38,121,0,0,0,10,0,0,0,7,0,0,1,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,18
083B032B,0,0,0,14,6,37,99,0,0,0,6,0,1,0,0,0,0,5,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,44
083B033A,0,0,0,25,3,106,151,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
083B033B,1,0,0,15,7,100,134,0,0,0,66,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
083B033C,0,0,0,23,14,116,152,0,0,0,55,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
083B034A,1,0,0,88,1,112,167,0,1,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
083B034B,0,0,0,42,7,139,119,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
083B034C,0,3,0,85,7,154,163,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
083B035,1,10,0,5,12,31,46,0,0,0,15,0,0,0,2,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
083B036,0,0,0,21,3,207,351,0,0,0,32,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
083B037A,1,13,0,2,0,27,53,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
