"Biračko Mjesto","HKDU BIH","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","DEMOKRATSKA FRONTA"
085A000,0,0,0,0,0,0,0,0,0
085A001,33,9,100,24,39,10,85,35,50
085A002,35,18,52,29,43,21,112,22,47
085A003,17,10,77,9,73,10,86,42,30
085A004,0,8,0,10,18,7,115,0,23
085A005,0,2,2,10,0,16,66,0,2
085A006,0,0,0,1,1,11,58,0,5
085A007,0,0,0,0,0,30,13,0,0
085A008,0,0,0,0,0,4,27,0,0
085A009,11,77,28,24,92,10,131,3,50
Ukupno,96,124,259,107,266,119,693,102,207
