"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD",NS,"NARODNI DEMOKRATSKI POKRET","UJEDINJENA SRPSKA"
088B001,7,0,6,4,41,21,14,0
088B002,8,0,1,3,18,1,16,0
088B003,22,5,24,59,127,83,68,14
088B004,39,0,21,62,99,38,16,3
088B005,50,0,18,103,252,61,49,10
088B006,31,1,31,57,164,52,92,11
088B007,26,24,50,62,162,38,35,2
088B008,1,0,8,4,39,3,13,0
088B009,32,24,57,99,189,52,106,17
088B010,22,26,24,112,170,34,53,35
088B011,0,0,0,43,21,0,1,0
088B012,27,56,32,48,135,47,41,7
088B013,3,0,15,5,148,31,13,2
088B014,3,0,0,49,63,11,29,1
088B015,74,0,6,58,215,12,44,4
088B016,3,0,0,16,92,6,29,0
088B017,65,7,45,67,213,38,128,27
088B018,36,10,37,92,232,53,66,17
088B019,26,51,16,42,101,22,41,15
088B020,64,0,24,101,176,47,78,9
Ukupno,539,204,415,1086,2657,650,932,174
