"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","LIBERALNO DEMOKRATSKA STRANKA BIH","NARODNA STRANKA RADOM ZA BOLJITAK","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA"
089A001A,15,80,73,32,2,57,33
089A001B,11,70,45,17,2,47,23
089A002,27,54,69,14,0,132,35
089A003,20,95,56,12,3,44,46
089A004,6,130,107,60,6,56,27
089A005,8,141,131,22,0,59,40
089A006,11,130,82,25,0,78,57
089A007,8,169,91,25,5,85,27
089A008A,22,37,145,59,27,104,43
089A008B,12,30,217,57,14,130,34
089A009,0,14,17,0,0,14,13
089A010,13,59,207,68,0,135,25
089A011,20,8,124,42,1,140,0
089A012,66,171,101,21,4,120,34
089A013,11,32,94,4,2,51,13
089A014,7,117,76,30,2,37,39
089A015,10,71,144,86,8,79,17
089A016,20,62,39,10,4,85,21
Ukupno,287,1470,1818,584,80,1453,527
