"Biračko Mjesto","HKDU BIH","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","KOALICIJA STRANKA ZA BIH, BOSS, LDS","HRVATSKA KOALICIJA ZA TRAVNIK"
091A001,0,80,214,1,0,58,15,10,3
091A002,0,15,275,0,6,57,15,3,2
091A003,0,30,104,1,1,6,8,16,0
091A004,0,48,138,0,6,22,8,11,0
091A005,0,59,217,0,9,126,10,28,2
091A006,0,17,124,0,2,138,11,25,8
091A007,0,5,8,1,0,5,2,7,332
091A008,0,8,179,1,13,32,8,28,1
091A009,0,24,218,0,23,24,2,38,0
091A010,0,17,186,3,7,47,18,38,0
091A011A,0,27,118,5,2,41,9,27,4
091A011B,1,22,110,6,10,46,7,23,4
091A012,0,14,77,3,2,35,9,18,21
091A013,0,34,0,0,0,0,0,0,392
091A014,0,2,1,0,0,0,0,1,272
091A015,0,5,130,1,24,20,5,70,64
091A016,0,3,14,0,24,8,2,2,242
091A017A,1,19,93,1,5,21,17,25,29
091A017B,0,15,58,5,3,25,6,20,26
091A018,0,56,98,8,3,33,24,11,19
091A019,0,8,32,1,1,10,3,2,192
091A020,0,55,106,6,3,64,4,64,80
091A021,0,61,175,13,5,48,25,43,27
091A022,0,71,99,11,8,50,17,36,31
091A023,0,94,131,6,6,57,25,16,45
091A024,0,70,153,14,9,43,19,26,45
091A025A,0,64,97,8,3,42,8,27,16
091A025B,0,34,54,9,3,49,13,17,20
091A026,0,39,90,11,7,23,7,12,15
091A027,1,50,131,11,13,49,11,39,3
091A028,0,49,206,4,9,57,9,45,7
091A029,0,25,109,6,11,30,17,25,44
091A030,0,21,241,3,19,53,50,20,29
091A031,8,9,3,3,0,0,0,1,470
091A032,0,8,0,0,0,0,1,0,412
091A033,0,4,0,0,1,0,1,1,161
091A034,2,4,2,0,0,2,9,1,453
091A035,0,7,0,0,0,0,1,0,415
091A036,0,0,1,0,0,0,0,0,225
091A037,0,4,145,0,17,22,12,31,25
091A038,0,10,94,4,1,19,5,17,239
091A039,0,17,179,2,4,68,8,129,25
091A040,0,10,239,2,2,82,65,19,8
091A041,0,0,6,0,0,0,0,0,184
091A042,0,1,93,0,0,42,3,18,24
091A043,0,39,175,1,5,152,30,23,1
091A044,0,18,220,1,4,77,13,22,12
091A045,0,11,155,0,3,90,6,20,2
091A046,0,1,177,0,0,91,4,7,0
091A047,0,2,77,0,9,36,2,9,0
091A048,0,7,284,0,5,80,19,53,0
091A049,3,62,216,0,8,116,57,44,0
091A050,0,11,241,4,3,161,30,26,0
091A051,0,64,182,10,11,47,22,46,24
091A052,0,46,102,4,11,36,6,30,57
091A053,0,42,116,2,3,39,11,26,17
091A054,0,11,104,2,8,18,32,10,129
091A055,0,2,255,0,2,194,7,43,8
091A056,0,41,73,2,4,47,12,41,75
091A057,0,5,145,0,3,57,0,10,1
091A058,0,11,244,3,11,29,14,11,2
091A059,0,64,100,8,12,45,15,30,42
091A060,0,28,66,12,0,3,10,18,91
091A061,0,21,70,0,7,7,3,38,6
091A062,0,4,23,0,0,0,12,7,168
091A063,3,12,52,0,2,13,20,4,22
091A064,0,134,117,1,1,10,6,7,0
091A065,0,5,129,3,3,33,8,18,2
091A066,0,17,47,0,9,45,5,37,10
091A067,0,53,99,14,4,33,8,17,22
091A068,0,0,0,0,0,0,0,5,239
091A069,0,1,167,0,7,18,21,5,0
091A070,0,1,2,0,0,0,0,0,52
Ukupno,19,1928,8386,217,397,3031,862,1597,5598
