"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","STRANKA DIJASPORE BOSNE I HERCEGOVINE","DEMOKRATSKA FRONTA","PRVA STRANKA","SNAGA CENTRA","GRAĐANSKI SAVEZ (GS)","ZIJAD SULJIĆ - NEZAVISNI KANDIDAT"
093A001,96,1,28,0,0,295,15,0,1,7,81,1,4,0,10,0,0
093A002,2,5,10,1,0,60,4,7,3,9,25,5,25,1,41,0,3
093A003,7,5,21,0,0,144,62,0,2,15,23,2,13,0,20,0,0
093A004,50,1,130,0,1,268,9,1,1,37,25,0,0,0,19,0,0
093A005,9,0,6,0,0,195,0,0,0,130,17,0,0,0,3,0,2
093A006,13,13,47,11,0,68,7,8,20,15,46,1,40,0,99,1,3
093A007,10,11,34,2,0,51,5,6,17,8,24,2,16,0,32,3,0
093A008,5,10,39,9,0,52,6,17,11,4,28,0,27,2,52,4,0
093A009,13,15,63,6,0,68,7,12,19,18,34,0,40,0,57,2,4
093A010,11,2,52,11,2,80,8,6,17,17,32,1,23,0,101,2,2
093A011,8,8,26,14,1,46,7,6,5,4,29,0,24,0,56,1,3
093A012,5,4,18,27,1,37,9,14,13,15,22,2,42,0,60,0,0
093A013,10,9,27,19,0,35,9,12,28,14,40,4,29,0,72,0,0
093A014,5,3,42,35,1,49,11,24,18,15,39,1,26,0,63,0,0
093A015,4,6,38,9,0,61,2,9,42,16,39,1,33,0,76,0,1
093A016,7,7,51,10,0,74,8,8,45,8,30,1,41,0,108,2,1
093A017,3,14,20,7,0,59,7,5,34,16,35,1,42,2,74,11,0
093A018,6,8,30,14,0,74,14,3,21,12,26,0,36,2,85,4,2
093A019,2,8,34,10,2,42,12,6,12,9,21,0,28,1,47,0,1
093A020,7,8,25,4,0,77,6,4,25,12,37,2,42,2,86,3,0
093A021,3,8,22,13,0,45,8,10,9,2,34,0,51,1,35,1,2
093A022,8,4,54,9,2,70,13,5,23,10,43,3,35,11,102,2,2
093A023,14,13,33,12,1,82,5,11,25,16,20,2,32,0,69,2,3
093A024,8,9,56,26,0,89,11,13,18,7,19,1,34,6,55,1,2
093A025,16,2,42,9,0,81,9,15,7,15,29,0,29,0,69,2,4
093A026,4,7,47,4,0,63,10,13,9,8,28,0,32,3,48,0,0
093A027,16,4,45,5,0,61,7,11,17,13,26,0,28,0,82,1,1
093A028,9,1,5,97,2,66,3,73,3,6,9,0,6,1,15,0,1
093A029,36,2,45,0,1,181,24,1,0,17,30,0,41,3,20,0,1
093A030,7,8,3,0,0,116,4,1,3,11,76,3,12,1,12,0,2
093A031,46,5,28,9,0,61,5,9,3,3,68,2,9,0,66,6,0
093A032,9,2,7,6,0,100,12,20,0,14,32,0,17,0,67,3,0
093A033,14,6,25,1,1,94,11,3,2,12,64,0,24,2,106,2,0
093A034,6,5,18,0,0,87,6,0,1,59,36,0,12,0,15,2,0
093A035,6,7,22,5,1,184,5,9,12,10,44,1,17,3,30,0,0
093A036,11,20,63,0,2,277,5,1,4,7,33,0,10,2,9,2,0
093A037,10,3,20,2,0,358,5,0,2,9,21,1,7,1,15,0,0
093A038,4,5,28,4,0,54,4,4,34,7,18,1,33,1,64,4,0
093A039,10,9,27,12,0,64,10,9,17,11,26,1,42,0,77,2,2
093A040,10,8,29,2,0,66,12,5,22,11,37,0,24,1,73,0,2
093A041,13,5,39,4,1,106,17,4,9,20,49,1,36,2,58,0,1
093A042,6,7,19,7,1,79,7,8,6,49,73,0,15,10,35,0,1
093A043,4,1,29,8,0,51,5,13,3,25,41,1,22,6,61,0,0
093A044,6,5,25,3,1,86,4,8,5,157,28,3,13,0,43,0,0
093A045,8,9,16,0,0,96,4,0,1,9,50,0,6,7,15,1,30
093A046,15,3,3,0,0,87,0,0,0,4,4,1,7,0,0,0,2
093A047,2,3,13,0,3,129,14,0,4,16,34,0,9,0,9,0,0
093A048,26,9,9,5,0,71,26,3,9,13,31,1,7,1,27,0,4
093A049,31,5,14,12,0,131,9,17,0,6,10,1,2,5,21,0,0
093A050,11,4,23,11,1,101,5,6,29,12,22,0,28,0,100,7,1
093A051,6,2,40,11,1,55,5,9,41,14,49,4,40,1,105,5,2
093A052,10,8,21,7,2,57,8,7,17,10,26,2,28,1,74,1,0
093A053,2,5,4,0,7,24,0,0,1,36,13,0,8,0,14,0,2
093A054,20,19,12,0,1,80,16,0,1,18,18,1,10,1,18,0,2
093A055,9,12,37,21,1,80,21,9,20,13,48,3,45,2,103,1,0
093A056,5,4,41,15,1,62,12,6,29,12,45,1,39,1,100,1,1
093A057,4,17,27,7,0,46,4,13,17,15,62,0,30,2,84,2,4
093A058,5,7,13,0,0,270,4,0,19,22,45,0,29,1,14,3,31
093A059,11,47,23,1,0,118,1,0,1,12,27,2,18,0,17,0,45
093A060,9,14,24,9,0,48,8,9,27,36,52,0,53,3,78,3,3
093A061,6,4,33,5,2,58,7,4,11,22,20,0,18,1,79,1,0
093A062,10,22,39,15,0,67,5,17,27,23,37,2,32,2,88,0,0
093A063,21,9,25,16,2,112,9,9,14,19,38,3,23,2,82,4,3
093A064,18,5,27,6,0,151,10,9,19,16,40,0,21,2,59,0,1
093A065,4,5,29,1,1,91,12,47,8,20,24,1,21,0,51,1,1
093A066,8,6,50,17,0,92,15,13,16,30,32,1,31,0,58,2,1
093A067,9,6,20,10,0,52,14,4,13,4,12,1,25,1,63,6,0
093A068,7,10,36,6,1,90,13,5,24,14,50,1,28,1,88,0,0
093A069,7,9,37,4,0,91,16,10,18,14,38,1,38,1,92,3,2
093A070A,3,21,22,0,0,186,2,0,0,22,38,0,14,0,4,0,3
093A070B,5,21,11,0,1,174,4,0,0,22,6,0,10,2,11,0,11
093A071,54,11,27,0,0,160,6,0,0,18,30,0,34,0,5,1,5
093A072,24,10,20,5,1,72,6,1,16,22,63,1,9,1,109,0,0
093A073,5,16,35,4,1,70,5,44,7,45,29,1,27,5,26,0,1
093A074,7,6,4,0,0,90,1,0,2,3,11,0,0,0,2,0,0
093A075,1,1,12,57,0,25,4,48,10,12,23,0,6,0,31,0,0
093A076,13,1,5,5,0,111,0,2,1,9,25,0,0,1,2,2,0
093A077,29,2,5,0,0,111,0,0,3,11,12,0,3,0,9,0,0
093A078,2,2,11,34,0,15,4,33,3,4,10,0,12,0,50,1,0
093A079,29,11,28,0,1,87,8,0,2,14,42,0,11,2,45,2,2
093A080,11,6,37,6,0,38,11,3,20,16,34,2,34,0,82,1,0
093A081,10,9,27,16,0,80,9,8,24,15,41,0,36,1,57,5,0
093A082,4,3,28,0,0,191,15,0,6,8,16,0,3,0,7,0,0
093A083,3,0,29,0,0,60,7,0,0,3,11,0,2,0,8,0,0
093A084,5,1,15,0,0,350,4,0,0,41,75,0,4,0,3,0,1
093A085,12,3,48,16,0,82,16,11,27,20,28,2,22,3,63,2,0
093A086,8,11,28,9,1,88,13,11,13,14,42,4,40,2,77,3,2
093A087,8,4,41,10,0,76,17,16,11,15,43,1,22,0,87,1,0
093A088,13,13,15,12,0,79,18,8,10,12,32,3,21,6,80,6,0
093A089,10,3,22,5,0,76,9,19,3,15,40,0,7,0,61,1,2
093A090,11,8,9,1,1,57,2,5,4,24,12,0,13,14,20,0,0
093A091A,3,4,2,0,0,206,0,0,0,7,4,0,0,0,2,0,0
093A091B,10,23,6,0,0,289,5,0,0,21,27,1,5,0,1,0,0
093A092,3,2,16,1,0,67,10,2,3,27,26,0,20,4,69,2,1
093A093,4,7,146,0,0,188,5,0,0,14,20,0,59,0,11,0,8
093A094,5,0,25,0,0,167,0,0,0,14,76,0,0,0,0,0,1
093A095,17,16,15,16,0,63,20,5,14,16,41,0,17,0,101,1,0
093A096,5,7,6,0,0,193,6,1,2,16,74,0,14,4,29,0,2
093A097,7,8,7,9,0,42,10,33,3,5,35,0,3,2,24,2,2
093A098,17,9,72,1,0,164,2,0,0,5,62,0,1,1,5,0,0
093A099,10,15,19,5,0,47,0,8,12,20,22,1,19,1,76,0,0
093A100,8,7,37,10,0,62,7,4,11,10,29,1,29,1,61,1,0
093A101,10,11,22,4,0,80,11,26,3,11,69,0,19,0,53,1,1
093A102,26,2,6,2,0,25,5,5,4,12,34,1,21,6,55,1,1
093A103,10,28,23,0,4,80,15,2,32,31,25,1,42,0,77,4,0
093A104,7,8,17,2,0,116,5,4,7,28,36,0,13,1,43,0,0
093A105,4,10,20,18,1,65,2,24,8,12,28,0,13,0,44,2,0
093A106,7,6,68,8,0,60,5,11,18,11,33,0,21,0,55,0,0
093A107,18,7,29,20,0,62,10,15,7,6,33,1,16,3,49,1,0
093A108,4,2,13,25,1,50,7,56,0,25,35,0,9,0,33,2,1
093A109,11,7,20,7,1,72,11,4,15,15,34,0,24,2,85,3,0
093A110,8,11,28,5,0,56,5,9,2,13,14,1,16,0,28,0,4
093A111,11,5,35,5,0,108,7,25,8,52,32,0,14,1,24,0,0
093A112,42,8,29,0,0,123,18,3,2,6,34,0,5,1,16,0,0
093A113,11,12,29,10,0,57,17,7,26,11,49,6,27,1,90,1,2
093A114,5,5,25,19,0,57,11,9,35,12,30,1,22,0,75,1,1
093A115,14,12,34,7,1,71,18,13,12,21,25,1,34,3,77,3,1
093A116,8,7,15,14,0,52,5,12,16,17,31,0,24,2,58,2,0
093A117,6,12,12,7,0,59,4,14,7,10,27,1,11,1,71,0,0
093A118,14,16,24,1,1,97,11,23,4,57,37,1,17,2,17,4,1
093A119,34,12,17,1,0,83,12,2,8,25,52,2,25,0,79,1,0
093A120,26,5,12,0,1,169,13,0,1,35,45,1,26,12,32,0,0
093A121,9,5,14,0,0,84,11,2,4,32,83,11,11,2,41,1,2
093A122,15,3,10,1,0,187,1,0,0,12,70,2,3,3,4,0,0
093A123,12,3,9,4,1,76,5,6,8,15,33,0,9,1,54,1,1
093A124,4,0,73,0,0,82,1,0,0,12,10,0,4,0,3,0,0
093A125,10,0,10,0,0,43,1,0,0,4,4,0,1,0,3,0,0
093A126,0,7,72,0,0,160,2,0,0,9,16,0,3,0,1,0,0
093A127,40,9,17,0,7,45,4,0,0,8,26,2,9,2,8,0,0
093A128,9,12,51,11,0,56,9,17,18,9,27,3,41,1,60,1,0
093A129,20,5,17,0,0,73,5,3,5,12,22,2,13,2,40,1,0
093A130,74,0,11,1,0,168,2,7,0,12,19,0,2,1,7,0,0
093A131,4,3,26,8,0,38,10,9,16,6,21,0,25,0,64,1,0
093A132,11,2,20,0,0,112,34,0,0,31,33,0,4,3,15,0,0
093A133,10,9,24,1,2,62,7,3,9,140,24,1,16,1,42,4,2
093A134,7,10,19,4,1,76,6,5,13,10,46,0,17,1,53,1,1
093A135,9,19,34,14,0,48,9,4,11,10,25,0,27,0,52,1,0
093A136,6,8,27,1,0,62,17,9,11,10,45,1,27,1,67,5,1
093A137,5,3,8,2,2,38,2,17,11,7,11,0,18,2,37,2,0
093A138,4,8,22,0,0,110,1,0,2,9,35,1,59,1,10,0,15
Ukupno,1694,1081,3860,1030,73,13443,1193,1199,1464,2568,4696,127,2893,205,6666,179,256
