"Biračko Mjesto","BPS-SEFER HALILOVIĆ","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA"
095A000,0,0,0,0,0,0,0,0,0
095A001,19,28,114,48,19,9,0,12,39
095A002,29,50,90,102,11,34,1,30,41
095A003,19,31,52,51,10,19,2,22,9
095A004,31,50,90,96,15,25,1,25,24
095A005,5,19,56,27,10,13,0,9,8
095A006,11,29,25,101,10,9,0,24,44
095A007,6,4,64,38,10,3,1,4,7
095A008,22,16,7,193,8,2,0,94,61
095A009,29,12,2,145,4,1,1,40,43
095A010,31,7,4,133,0,0,0,9,1
095A011,0,8,80,0,2,0,0,6,19
095A012,2,12,110,11,16,4,0,1,14
095A013,42,4,0,102,3,2,0,1,4
095A014,42,19,1,197,0,9,5,31,19
095A015,19,2,4,33,1,0,1,37,9
095A016,1,20,81,0,0,1,0,1,2
095A017,5,7,0,46,0,0,1,8,5
095A018,17,6,2,100,1,32,0,24,11
095A019,0,0,67,0,0,0,0,0,0
095A020,23,31,54,116,6,5,4,27,44
Ukupno,353,355,903,1539,126,168,17,405,404
