"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","STRANKA ZA OPĆINU OLOVO -SZOOL","DEMOKRATSKA FRONTA"
096A001,17,14,28,173,12,21,25,64
096A002,16,8,17,205,15,22,25,52
096A003A,35,11,8,158,9,17,28,20
096A003B,43,26,23,185,14,23,36,31
096A004,12,7,10,179,11,23,31,23
096A005,13,47,10,121,7,12,54,9
096A006,21,13,10,84,31,19,48,15
096A007,12,8,56,211,20,42,72,37
096A008,15,4,3,107,12,22,4,15
096A009,12,8,25,253,20,50,27,26
096A010,17,7,94,155,7,53,27,39
096A011,17,12,10,103,1,159,1,3
096A012,7,12,12,148,2,9,46,22
096A013,6,9,33,203,26,23,30,74
096A014,14,11,11,204,16,19,29,9
096A015,13,12,3,84,12,1,7,10
096A016,10,1,10,63,8,10,13,5
096A017,5,6,9,100,4,7,11,12
096A018,13,10,0,56,1,0,31,3
096A019,13,13,21,213,17,11,27,56
Ukupno,311,239,393,3005,245,543,572,525
