"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","NARODNA STRANKA RADOM ZA BOLJITAK","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","REGIONALNI DEMOKRATSKI SAVEZ TUZLA","EMIR SALIHOVIĆ - NEZAVISNI KANDIDAT","IZUDIN AHMETOVIĆ - NEZAVISNI KANDIDAT","SEAD HOTOVIĆ - NEZAVISNI KANDIDAT"
098A001,0,150,15,238,7,6,36,31,16,41,0,31
098A002,0,57,10,173,0,7,7,44,3,4,3,29
098A003,10,9,4,147,4,11,7,7,13,5,9,2
098A004,2,16,8,113,2,8,18,8,10,62,11,3
098A005,4,27,7,156,1,7,14,6,13,29,20,8
098A006,2,3,7,29,3,14,10,23,2,57,78,2
098A007,6,11,31,186,1,5,4,5,2,6,2,0
098A008,2,56,27,158,0,3,22,1,1,5,2,8
098A009,3,94,52,83,1,3,18,15,6,5,8,5
098A010,0,149,95,128,0,2,40,36,10,6,0,6
098A011,3,15,17,79,3,4,12,17,1,0,0,0
098A012,2,77,143,147,10,9,44,43,13,22,0,7
098A013,1,134,69,65,0,17,18,35,12,2,1,1
098A014,33,51,30,85,5,17,41,12,21,4,7,13
098A015,12,35,29,87,21,30,34,10,18,24,8,21
098A016,23,36,18,94,2,45,24,9,22,24,4,15
098A017,2,25,2,76,6,7,3,25,9,28,3,4
098A018,59,30,27,184,0,41,54,36,21,33,7,6
098A019,3,58,35,100,4,2,26,28,7,12,3,9
098A020,34,34,20,86,8,45,48,9,14,27,3,8
098A021,54,60,35,82,14,24,27,28,24,39,13,6
098A022,24,30,36,65,0,51,25,19,27,7,5,16
Ukupno,279,1157,717,2561,92,358,532,447,265,442,187,200
