"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA RADIKALNA STRANKA ""9. JANUAR""","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE",NS,"SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","SRS-SRPSKA U SIGURNE RUKE","UJEDINJENA SRPSKA"
103B001,72,26,12,20,22,175,0,0,7,31,2,0,14,22
103B002,114,60,3,20,28,188,0,0,20,38,16,0,2,20
103B003,131,58,9,11,28,214,0,0,8,51,4,1,25,24
103B004,103,53,10,16,26,170,0,0,6,28,9,0,15,22
103B005,102,26,2,19,15,149,0,1,8,25,5,1,29,35
103B006,142,44,0,16,34,110,0,0,8,19,3,0,8,14
103B007,15,8,8,5,6,98,1,0,4,36,26,0,4,3
103B008,20,14,73,8,20,77,0,0,1,8,1,1,11,13
103B009,111,41,5,39,28,206,0,0,2,12,9,0,14,52
103B010,108,2,22,14,7,86,1,0,1,6,0,0,4,13
103B011,90,14,0,3,1,67,0,0,10,3,11,0,1,10
103B012,69,9,0,22,7,164,0,0,1,12,1,0,3,67
103B013,42,7,0,5,26,99,0,0,5,19,0,0,0,31
103B014,55,16,0,3,27,109,0,0,0,3,8,0,5,4
103B015,0,1,76,0,0,1,0,0,0,0,0,0,0,0
103B016,0,14,91,0,0,11,0,0,0,0,0,0,0,1
103B017,188,29,4,48,44,216,0,0,8,19,17,0,27,59
Ukupno,1362,422,315,249,319,2140,2,1,89,310,112,3,162,390
