"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","SAVEZ ZA DEMOKRATSKU SRPSKU","SRPSKA NAPREDNA STRANKA",NS,"SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE","UJEDINJENA SRPSKA","LISTA NEZAVISNIH KANDIDATA POKRET ZA PREOKRET",SDA/SBB
104B001,0,0,100,2,28,43,79,39,0,25,52,12,13,15,5,18,6,0
104B002,71,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,123
104B003,7,0,41,0,0,12,37,9,0,31,30,4,0,3,6,0,3,29
104B004,10,2,21,1,2,37,45,18,0,12,26,43,1,9,0,3,19,1
104B005,0,0,18,1,0,16,48,15,0,13,24,9,0,4,2,12,6,0
104B006,5,0,21,5,9,41,29,10,0,15,35,10,2,12,5,2,10,10
104B007,0,0,16,1,6,113,25,39,0,17,48,10,2,7,0,9,30,1
104B008,0,0,27,0,1,9,1,26,0,0,7,3,0,2,0,15,47,0
104B009,3,0,44,3,12,43,89,38,0,34,78,28,13,13,8,15,29,23
104B010,0,0,54,20,19,45,94,45,0,17,69,56,14,10,14,28,14,19
104B011,1,0,17,0,5,24,50,17,1,17,50,22,7,20,0,22,16,8
104B012A,2,0,38,4,5,30,95,24,0,16,55,47,2,22,7,25,22,3
104B012B,0,0,31,7,7,9,35,18,0,27,35,18,1,17,5,15,13,0
104B013,0,2,47,6,19,23,67,33,0,29,52,23,10,17,7,25,18,9
104B014,0,0,57,11,8,43,81,38,0,34,54,27,8,9,14,18,38,1
104B015,5,0,42,12,10,40,97,36,1,31,88,30,10,19,7,28,16,17
104B016,16,0,18,3,6,37,40,6,0,13,49,18,8,8,8,9,10,40
104B017,0,0,29,2,1,18,36,3,0,5,44,9,0,3,0,7,1,4
104B018,0,0,30,1,1,15,37,11,0,15,27,11,3,9,16,10,32,1
104B019,0,0,28,7,12,40,112,21,0,16,74,27,2,16,11,28,24,1
104B020,8,0,29,1,10,29,60,8,0,33,81,21,12,6,6,9,4,56
104B021,6,0,3,1,1,8,6,5,0,1,22,2,0,5,1,0,2,70
104B022,54,0,32,0,2,4,28,2,0,13,23,7,2,5,1,1,1,159
104B023,14,0,21,9,4,18,23,19,0,21,10,4,13,3,4,14,16,45
104B024A,2,0,49,2,15,35,93,19,0,47,71,35,7,18,13,27,19,3
104B024B,1,0,40,3,7,50,70,21,0,30,90,39,9,19,3,17,26,1
104B025,0,0,23,1,6,9,27,2,0,4,35,13,5,0,0,6,2,0
104B026,44,0,1,0,0,5,1,0,0,3,1,0,0,1,0,0,3,131
104B027,0,0,9,0,8,13,32,14,0,15,51,11,2,9,0,0,0,0
104B028,5,0,23,2,18,22,44,20,0,16,29,24,4,11,4,11,15,11
104B029,6,0,14,0,6,26,56,11,0,21,54,16,4,10,5,7,18,26
104B030,44,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,189
104B031,36,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,83
Ukupno,340,4,923,105,228,864,1537,568,2,571,1364,579,154,302,152,381,460,1064
