"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","DNS-DEMOKRATSKI NARODNI SAVEZ","NARODNA STRANKA RADOM ZA BOLJITAK","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","SBB - FAHRUDIN RADONČIĆ","SRPSKA NAPREDNA STRANKA","HRVATSKA STRANKA PRAVA HERCEG-BOSNE","DEMOKRATSKA FRONTA","HRVATSKA LISTA ZA LIVNO","AUTOHTONA-HRVATSKA STRANKA PRAVA BIH A-HSP BIH","HSS BIH","HSPBIH-HČSPBIH- ZA LIVNO"
106A001A,1,105,1,0,25,0,75,0,0,0,4,31,0,4,7
106A001B,0,82,0,0,6,0,78,0,0,0,7,39,1,1,5
106A002A,3,136,3,0,8,0,23,0,0,0,7,19,0,8,1
106A002B,2,83,4,0,4,0,30,2,0,4,9,29,0,16,2
106A003,18,15,27,0,4,0,9,4,0,0,21,11,0,1,2
106A004,12,104,15,0,15,0,65,0,0,2,29,29,0,0,9
106A005,9,117,50,0,10,0,31,6,0,1,40,12,0,1,14
106A006,22,4,221,0,7,0,9,12,0,0,61,3,0,1,6
106A007,21,50,64,1,13,0,52,14,1,2,23,30,0,2,4
106A008,16,65,36,0,2,0,53,2,0,2,18,11,0,4,5
106A009,3,215,116,0,0,0,45,3,0,0,4,68,0,0,2
106A010,0,237,0,0,3,0,21,0,0,1,1,83,0,0,2
106A011,0,260,58,0,9,0,88,0,0,1,1,29,0,2,70
106A012,0,175,0,0,13,0,27,0,0,3,0,12,0,2,5
106A013,0,172,0,0,10,0,23,0,0,0,1,7,0,0,1
106A014,0,109,0,0,1,1,60,0,0,0,0,7,1,0,4
106A015,0,133,0,0,0,0,70,0,0,1,1,31,0,0,2
106A016,3,75,26,0,4,0,20,0,0,0,13,39,0,1,1
106A017,0,73,0,0,0,0,160,0,0,3,0,10,0,0,2
106A018,3,212,1,0,1,0,49,1,0,9,48,20,6,2,30
106A019,0,203,0,0,30,0,118,0,0,1,13,17,0,1,3
106A020,0,116,0,0,3,0,54,0,0,1,0,16,2,0,24
106A021,0,72,29,0,5,0,67,21,0,1,2,13,0,0,18
106A022,2,97,0,0,2,0,64,0,0,9,5,105,1,0,1
106A023,0,112,0,0,4,0,176,0,1,0,1,14,0,4,31
106A024,1,122,0,0,6,0,133,0,0,0,11,23,0,0,3
106A025,1,195,113,0,19,0,45,0,0,0,25,35,0,4,7
106A026,5,61,100,0,3,0,35,1,0,1,4,11,0,1,5
106A027A,33,65,37,0,3,0,29,12,0,1,23,21,0,0,9
106A027B,20,34,48,0,6,0,24,6,0,1,25,15,0,2,0
106A028,16,84,35,1,1,0,47,6,1,0,28,12,0,2,4
106A029,0,40,0,0,3,0,27,0,0,0,3,20,0,7,4
106A030,13,74,13,0,5,0,39,2,0,1,28,12,0,1,4
106A031,12,41,35,2,6,0,33,4,2,2,21,24,0,3,3
106A032,0,32,0,0,1,0,32,0,0,0,0,11,0,0,3
106A033,0,441,0,0,0,0,44,1,0,4,0,6,0,2,3
106A034,1,61,38,0,12,0,64,0,0,0,3,39,1,1,3
106A035,0,29,0,0,0,2,113,0,1,1,1,5,0,0,1
106A036,1,63,60,0,7,0,26,0,0,1,26,30,2,2,4
Ukupno,218,4364,1130,4,251,3,2158,97,6,53,507,949,14,75,304
