"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","LISTA ZA BUGOJNO","DEMOKRATSKA FRONTA","SAVEZ ZA NOVU POLITIKU","IVAN JURČEVIĆ - NEZAVISNI KANDIDAT","NEZAVISNA LISTA","HDZ BIH I HDZ 1990, KOALICIJA HRVATSKIH STRANAKA"
109A001,7,3,94,6,206,1,11,47,0,67,0,0,28,37
109A002,2,2,69,8,124,0,9,37,1,37,0,1,26,26
109A003,2,1,22,1,80,0,4,37,0,18,1,0,19,43
109A004,3,0,53,5,98,1,3,27,0,37,0,0,14,29
109A005,4,3,56,2,112,0,6,53,0,34,0,1,24,29
109A006,7,1,89,8,150,2,3,34,1,19,0,0,11,19
109A007,2,2,79,1,108,0,6,53,0,40,0,0,16,13
109A008,1,2,23,3,104,0,3,27,0,34,0,0,37,18
109A009,2,2,78,6,200,0,8,41,2,40,0,0,34,48
109A010,0,0,9,0,13,1,18,23,0,9,0,0,2,65
109A011,2,0,41,0,86,0,3,16,0,7,0,0,28,0
109A012,0,1,123,0,251,4,5,41,0,27,0,1,10,35
109A013,16,1,7,0,177,0,7,21,0,50,0,0,6,21
109A014,4,3,56,7,333,0,10,100,0,25,0,1,19,22
109A015,2,4,52,5,216,0,8,80,1,46,0,0,23,8
109A016,9,4,62,1,149,1,5,19,0,33,0,0,19,76
109A017,0,0,46,0,211,0,13,46,0,27,0,0,13,3
109A018,7,1,75,2,180,3,4,77,0,44,0,0,38,29
109A019,3,2,31,1,403,0,6,80,0,93,0,0,3,1
109A020A,2,1,78,1,113,1,0,30,0,26,0,0,69,9
109A020B,0,1,79,3,152,2,3,19,0,46,0,0,56,14
109A020C,8,4,50,7,142,1,4,44,0,20,0,0,43,28
109A021,2,7,59,0,162,1,13,37,0,17,0,1,13,85
109A022,5,1,72,4,154,5,1,84,0,11,0,0,3,7
109A023,0,0,4,0,39,5,1,7,0,2,0,0,0,133
109A024,2,2,26,0,22,16,6,14,0,5,0,0,8,159
109A025,2,1,43,4,77,0,2,25,0,17,1,1,6,39
109A026,11,1,96,7,173,1,4,39,0,62,0,1,44,29
109A027,4,1,71,4,118,0,5,41,1,21,0,0,13,15
109A028,14,7,78,1,145,0,8,97,0,23,0,1,33,47
109A029,2,11,30,0,128,0,3,39,0,18,0,0,17,5
109A030,5,3,53,2,108,0,6,36,0,30,0,0,32,12
109A031,0,0,21,8,198,0,2,47,0,18,0,0,21,71
109A032,3,2,30,1,177,0,9,96,0,77,0,1,40,23
109A033,3,2,14,0,111,1,4,25,0,16,0,0,4,16
109A034A,3,2,37,1,126,0,5,31,0,38,0,0,15,3
109A034B,2,2,34,1,159,0,2,22,0,58,0,0,11,2
109A035,1,0,4,0,32,0,0,2,0,3,0,0,7,57
109A036,4,0,23,7,58,1,3,15,0,15,0,0,10,23
109A037,3,7,59,1,155,0,2,68,1,32,0,2,12,57
109A038,17,5,87,7,90,1,4,39,0,41,0,4,20,45
109A039,8,3,30,1,97,0,4,25,0,19,0,0,37,20
109A040,0,0,54,0,42,0,0,19,1,9,0,0,4,3
Ukupno,174,95,2197,116,5979,48,223,1760,8,1311,2,15,888,1424
