"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","HRVATSKA LISTA (HDZ BIH, HDZ 1990, HSPBIH, HSS STJEPANA RADIĆA)"
110A000,0,1,0,0,0
110A001,43,185,38,18,2
110A002,119,235,4,13,52
110A003,96,215,16,13,2
110A004,15,182,8,1,36
110A005,75,306,5,6,0
110A006,45,249,21,17,0
110A007,8,194,43,4,0
110A008,77,176,24,59,22
110A009,101,201,40,55,6
110A010,1,3,0,0,225
110A011,7,0,1,0,357
110A012,1,1,0,2,294
110A013,49,177,30,21,95
110A014,2,0,0,0,359
110A015,10,67,18,9,213
110A016,0,0,0,0,107
110A017,124,224,41,56,11
110A018,40,234,36,10,33
110A019,1,36,4,3,307
110A020A,26,141,28,38,115
110A020B,16,65,18,9,87
110A021,38,178,18,40,143
110A022,23,366,12,6,0
110A023,41,110,48,1,185
110A024,14,296,11,12,101
110A025,65,195,38,28,1
110A026,30,82,21,19,320
Ukupno,1067,4119,523,440,3073
