"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","HRVATSKI NARODNI SAVEZ BIH","HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE","SBB - FAHRUDIN RADONČIĆ","SAVEZ ZA NOVU POLITIKU","HDZBIH, HSS STJEPANA RADIĆA, HDZ 1990"
111A001,0,0,1,0,5,13,0,0,268
111A002,0,0,1,1,42,86,0,0,235
111A003,3,0,2,1,18,68,0,0,305
111A004,12,6,10,95,13,59,3,0,323
111A005,6,4,14,11,9,41,0,0,151
111A006,2,1,14,6,41,38,4,4,275
111A007,5,13,29,41,18,69,7,2,227
111A008,16,16,20,32,12,72,8,6,249
111A009,22,9,18,45,13,41,6,2,137
111A010,1,3,15,9,30,41,1,1,236
111A011,18,40,28,76,1,6,16,0,7
111A012,86,12,37,155,0,5,25,0,3
111A013,41,48,59,287,2,3,54,2,3
111A014,70,76,59,245,0,2,71,0,7
111A015,63,28,49,263,2,4,48,0,22
111A016,37,25,37,190,0,2,43,0,3
111A017,61,52,19,166,0,1,6,0,11
111A018,68,69,47,263,1,0,49,0,2
111A019,27,14,26,123,10,38,21,0,102
111A020,34,13,75,272,0,2,9,1,27
111A021,34,93,26,316,0,0,30,1,3
111A022,7,5,3,8,10,28,1,0,211
111A023,40,23,78,305,0,0,52,0,13
111A024,72,44,54,169,0,3,39,2,14
111A025,0,0,1,0,4,39,0,0,234
111A026,8,7,12,28,5,44,0,1,265
111A027,33,5,27,211,0,4,12,0,36
111A028,124,15,13,149,1,18,10,0,26
111A029,3,0,0,0,3,16,0,0,70
111A030,6,2,26,34,19,66,8,7,204
Ukupno,899,623,800,3501,259,809,523,29,3669
