"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","HRVATSKI NARODNI SAVEZ BIH","NARODNA STRANKA RADOM ZA BOLJITAK","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","KOALICIJA HDZ BIH, HSS STJEPANA RADIĆA, HSP BIH, HKDU BIH"
112A001,25,202,0,0,3,65,40,7
112A002,15,20,8,1,23,2,0,249
112A003,23,52,3,0,17,16,4,138
112A004,9,106,2,0,9,20,15,125
112A005,17,39,3,0,26,11,2,176
112A006,23,39,6,0,51,2,3,364
112A007,16,253,0,0,1,44,10,4
112A008,5,491,0,15,0,83,22,0
112A009A,1,76,1,0,27,18,2,222
112A009B,13,172,1,5,12,20,9,94
112A010A,4,39,18,0,31,12,1,163
112A010B,6,18,14,0,55,0,1,199
112A011,12,40,3,2,27,16,5,156
112A012,17,164,1,0,9,20,22,61
112A013A,28,310,0,1,4,24,19,75
112A013B,27,223,1,1,14,19,39,53
112A014,11,178,0,0,12,35,6,361
112A015,6,1,3,0,13,0,0,265
112A016A,4,117,5,0,23,15,5,130
112A016B,15,197,2,0,16,27,2,68
112A017A,3,7,18,0,40,2,5,305
112A017B,3,27,8,1,22,7,7,230
112A018A,0,1,12,0,22,1,0,256
112A018B,3,4,8,0,15,0,1,234
112A019,2,26,3,2,92,0,0,341
112A020,13,159,1,1,14,21,3,143
112A021,3,127,4,0,8,16,29,277
112A022,9,247,0,3,0,13,6,4
112A023,8,220,0,0,0,19,3,1
112A024,13,36,7,0,33,9,1,307
112A025,25,14,1,0,34,3,7,201
112A026,6,19,2,0,22,3,1,333
112A027,5,178,0,0,0,14,8,0
112A028,31,310,0,6,0,51,26,3
112A029,16,19,5,0,35,3,1,188
112A030,4,35,3,0,11,0,0,171
112A031,7,189,0,0,0,47,5,0
Ukupno,428,4355,143,38,721,658,310,5904
