"Biračko Mjesto","HKDU BIH","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA"
113A001,0,10,178,134,8,7,28
113A002,5,14,354,59,26,4,24
113A003,5,26,104,106,11,11,31
113A004,6,16,200,68,25,1,22
113A005,1,15,182,75,28,15,23
113A006,2,9,287,39,7,0,9
113A007,2,2,334,1,9,0,0
113A008,2,12,148,65,15,4,14
113A009,1,14,307,96,7,4,26
113A010,1,5,18,234,49,5,39
113A011,0,28,6,183,0,3,19
113A012,0,9,0,286,0,17,36
113A013,0,19,1,353,0,30,9
113A014,3,0,292,1,24,0,0
113A015A,0,37,19,333,0,24,80
113A015B,0,15,24,373,0,9,49
113A016,9,1,343,0,5,0,5
113A017,4,17,153,47,29,3,44
113A018,1,27,26,115,14,3,24
113A019,1,9,177,48,22,4,8
113A020,10,16,170,27,13,0,12
113A021,0,13,0,222,0,5,36
113A022,0,108,1,270,2,46,29
113A023,1,5,100,129,2,2,62
113A024,1,8,3,261,0,1,45
Ukupno,55,435,3427,3525,296,198,674
