"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","HRVATSKA STRANKA PRAVA BOSNE I HERCEGOVINE","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","HDZ BIH, HDZ 90, HSS S. RADIĆA-HRVATSKA KOALICIJA FOJNICE"
114A001,67,80,17,24,5,87
114A002,78,80,13,36,13,70
114A003,89,333,1,57,17,2
114A004,16,20,18,5,4,162
114A005,37,278,1,42,4,7
114A006,44,178,0,6,1,0
114A007,89,295,2,107,11,46
114A008,58,182,16,35,6,140
114A009,10,8,8,6,3,308
114A010,89,134,3,25,3,31
114A011,14,24,14,13,1,247
114A012,39,280,1,52,4,7
114A013,58,75,5,20,6,61
114A014,82,130,7,40,5,49
114A015,43,175,9,37,6,44
114A016,24,298,0,38,2,8
114A017,46,82,2,15,1,61
114A018,75,33,8,12,1,159
Ukupno,958,2685,125,570,93,1489
