"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HRVATSKI NARODNI SAVEZ BIH","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","SDA SBIH JEDINSTVOM DO USPJEHA","KOALICIJA HDZBIH-HSS STJEPANA RADIĆA","HRVATSKA KOALICIJA HDZ1990-HSP BIH"
115A001,3,3,15,0,101,19,15
115A002,1,41,0,2,64,232,41
115A003,26,37,15,12,148,111,52
115A004,7,3,1,9,12,357,84
115A005,19,1,13,17,198,101,12
115A006,14,9,11,7,155,247,68
115A007,6,7,12,3,48,165,23
115A008,9,21,6,0,13,265,54
115A009,11,21,2,6,5,217,42
115A010,5,7,15,1,160,88,30
115A011,56,1,13,5,247,126,31
115A012,21,3,4,2,43,275,35
115A013,9,9,6,9,129,209,19
115A014,38,11,1,4,72,198,36
115A015,44,2,2,98,359,64,7
115A016,128,7,24,54,240,121,18
115A017,1,29,0,0,0,207,24
115A018,24,14,1,4,6,203,76
115A019,34,3,0,3,164,158,45
115A020,20,27,13,3,44,219,59
115A021,2,3,2,2,14,100,24
115A022,51,1,14,26,238,87,26
115A023,31,1,4,24,141,15,11
115A024,6,10,1,5,78,184,31
115A025,33,6,2,10,44,262,45
Ukupno,599,277,177,306,2723,4230,908
