"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","NEZAVISNA LISTA ZA OPĆINU VISOKO"
116A000,0,0,0,0,0,0,0,0,0,0
116A001,31,1,32,137,21,4,59,17,13,253
116A002,27,1,15,106,2,3,28,9,3,119
116A003,24,4,62,153,16,67,56,13,8,99
116A004,6,2,90,140,7,53,24,21,7,100
116A005,9,1,21,174,5,20,48,52,15,71
116A006,27,2,14,175,10,11,186,43,11,163
116A007,8,8,25,35,6,3,34,283,4,43
116A008,9,17,55,114,20,4,32,16,10,67
116A009,41,0,30,87,6,6,41,15,54,279
116A010,27,0,45,108,0,0,16,4,6,123
116A011,32,1,30,77,14,3,80,84,42,106
116A012,15,2,9,157,8,3,55,11,3,78
116A013,15,2,22,91,6,5,27,14,2,386
116A014,12,0,10,126,6,0,31,5,15,281
116A015,20,4,26,164,1,7,70,80,12,133
116A016,9,9,44,84,7,30,107,44,4,80
116A017,11,5,11,60,1,3,25,80,6,73
116A018,9,3,81,78,12,76,39,23,14,124
116A019,13,6,118,117,10,41,39,32,19,109
116A020,33,6,108,91,16,65,63,37,12,117
116A021,5,3,10,179,1,8,33,8,3,47
116A022,36,1,30,130,0,7,91,73,11,103
116A023,29,3,45,47,11,26,33,16,2,100
116A024,18,4,6,114,5,1,182,19,5,87
116A025,11,1,18,248,12,0,17,7,9,45
116A026,7,2,7,66,4,2,9,10,2,46
116A027,37,4,6,143,8,2,72,49,7,129
116A028,15,0,13,54,3,1,115,22,7,123
116A029,13,3,73,125,10,45,36,22,9,119
116A030,10,2,55,80,28,68,30,31,23,104
116A031,12,3,33,95,10,27,42,69,16,63
116A032,16,40,58,153,19,24,29,98,26,64
116A033,11,22,54,96,13,41,36,94,7,81
116A034,36,11,57,155,19,25,39,35,11,146
116A035,18,6,59,58,8,22,35,39,4,123
116A036,18,4,18,78,6,7,40,54,14,163
116A037,4,3,10,32,2,0,7,4,19,38
116A038,9,6,9,65,3,12,12,26,5,253
116A039,14,1,17,46,3,1,68,12,6,46
116A040,18,1,7,51,5,4,129,18,10,66
116A041,43,1,39,79,3,5,31,19,25,86
116A042,90,1,39,87,0,13,30,6,5,144
116A043,37,9,6,67,4,8,30,30,38,87
116A044,17,0,9,70,4,26,21,14,2,34
116A045,2,3,1,38,2,1,31,6,6,151
116A046,27,1,14,102,7,13,7,5,0,47
116A047,80,2,10,90,12,4,29,11,68,225
116A048,17,4,22,110,10,6,32,25,2,215
116A049,16,4,25,157,3,9,156,23,5,94
116A050,10,1,15,65,1,7,67,43,5,110
116A051,14,2,83,100,17,44,29,23,12,85
116A052,57,9,37,75,15,7,9,8,2,62
Ukupno,1125,231,1733,5329,422,870,2587,1802,626,6090
