"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","GRAÐANSKA DEMOKRATSKA STRANKA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA"
117A001,35,88,64,13,83,22,51,127,74
117A002,26,87,74,16,52,35,67,70,55
117A003,8,66,46,10,94,18,55,121,58
117A004,24,75,42,40,140,18,93,186,38
117A005,29,49,45,18,221,7,103,121,52
117A006,25,14,16,13,59,7,19,61,24
117A007,4,72,16,7,176,28,57,80,10
117A008,11,25,18,2,48,20,61,115,5
117A009,30,40,33,3,54,5,68,68,30
117A010,25,33,22,10,107,40,105,69,24
117A011,8,67,15,7,135,31,104,69,7
117A012,22,40,46,38,142,26,78,112,22
117A013,7,63,18,9,63,16,22,68,14
117A014,12,76,24,28,178,14,56,108,10
117A015,10,50,11,5,135,9,57,93,24
117A016,24,45,20,9,104,9,45,92,13
117A017,16,25,8,11,71,5,39,51,34
Ukupno,316,915,518,239,1862,310,1080,1611,494
