"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA SREDNJE","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","GRAÐANSKA DEMOKRATSKA STRANKA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","LIBERALNO DEMOKRATSKA STRANKA BIH","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","POLITIČKA ORGANIZACIJA GRAĐANA ¨SNAGA BOSNE¨","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","NUSRET MAŠIĆ - NEZAVISNI KANDIDAT","NIHAD MUFTIĆ - NEZAVISNI KANDIDAT","GRAĐANSKI SAVEZ (GS)"
118A001,20,3,72,2,8,0,91,35,2,0,22,20,10,4,8
118A002,22,4,61,0,3,1,146,26,3,5,28,38,4,4,12
118A003,36,1,92,6,0,0,126,30,1,1,33,48,10,3,9
118A004,21,5,61,0,1,0,167,46,3,1,24,26,11,2,20
118A005,31,5,51,1,0,0,122,33,18,0,53,18,8,5,33
118A006,14,11,14,5,0,0,132,12,3,0,48,6,0,0,25
118A007A,18,2,25,5,0,0,119,33,0,4,54,23,0,0,21
118A007B,20,1,29,10,0,0,120,18,0,6,66,8,0,0,24
118A008,103,8,17,1,2,0,151,17,0,3,32,5,0,1,45
118A009,45,4,17,11,1,1,192,19,4,11,34,9,1,0,50
118A010,26,4,25,5,0,0,164,11,2,11,23,12,0,4,68
118A011,27,0,17,3,7,0,87,9,2,7,29,10,7,2,30
118A012,38,9,28,6,4,0,161,4,0,28,26,18,3,4,72
118A013,20,2,6,23,0,0,183,9,1,5,64,14,3,1,66
118A014A,27,4,40,3,0,0,203,6,0,1,34,47,2,22,56
118A014B,18,0,36,0,4,0,162,2,0,3,29,31,5,18,32
118A015,36,0,31,1,0,1,85,10,2,0,19,2,1,0,4
118A016,20,1,5,1,0,0,85,8,0,0,2,30,1,2,10
118A017,132,0,6,0,0,0,39,1,0,0,9,1,0,0,6
118A018,8,6,70,0,0,0,241,17,0,0,63,5,1,1,15
118A019,24,1,17,0,0,0,294,10,0,1,22,20,1,2,8
118A020,28,0,15,6,0,0,306,15,1,0,25,41,7,0,14
118A021,28,7,16,0,0,0,274,36,7,6,48,24,10,0,51
118A022A,36,16,52,1,1,1,143,10,3,2,42,49,2,4,21
118A022B,28,4,41,3,1,0,112,16,2,1,16,36,3,3,10
118A023,16,2,47,0,0,0,184,19,3,0,31,27,0,0,13
118A024,101,15,50,0,0,0,175,7,0,2,61,39,7,0,4
118A025,3,112,12,0,0,1,123,7,0,0,18,12,3,0,0
118A026,4,23,3,0,0,0,142,0,2,0,10,1,2,0,17
118A027,0,44,12,0,0,0,71,0,1,0,4,6,0,0,0
118A028,16,133,74,1,0,0,140,8,0,1,34,19,0,0,8
118A029,7,12,72,0,1,0,27,10,0,0,16,18,0,0,3
Ukupno,973,439,1114,94,33,5,4767,484,60,99,1019,663,102,82,755
