"Biračko Mjesto","SDS-SRPSKA DEMOKRATSKA STRANKA","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA","SAVEZ ZA NOVU POLITIKU","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE"
121B001,197,0,23,0,0,70,50,144,17,0,17,3
121B002,177,0,14,0,0,72,46,108,11,1,10,1
121B003,68,1,5,4,0,13,19,143,1,0,5,0
121B004,190,0,3,0,0,20,24,140,3,0,5,5
121B005,45,0,2,17,0,14,12,64,1,0,4,2
121B006,70,0,0,0,0,7,9,62,1,0,4,0
121B007,76,0,6,0,0,22,22,81,11,0,5,17
121B008,65,0,1,1,0,7,16,76,0,0,0,3
121B009,225,0,8,0,0,60,41,118,14,8,3,5
121B010,140,0,10,2,0,53,72,177,10,0,8,22
121B011,204,0,19,0,2,54,87,211,17,0,8,8
121B012,25,0,0,9,2,1,0,48,0,0,0,0
121B013,54,0,2,2,0,13,8,74,6,0,1,2
121B014,44,0,2,0,0,29,3,35,0,0,0,0
121B015,25,0,0,0,0,0,1,17,4,0,0,0
121B016,40,0,0,4,0,3,3,69,2,0,2,0
121B017,45,0,1,0,0,9,5,86,0,0,0,0
121B018,206,0,17,0,0,61,89,152,14,0,11,3
121B019,178,0,1,0,0,60,92,109,11,2,7,3
121B020,169,0,18,0,0,84,49,203,24,2,19,14
121B021,118,0,1,0,0,53,46,109,8,0,14,2
121B022,186,1,15,1,0,48,89,128,3,0,10,2
Ukupno,2547,2,148,40,4,753,783,2354,158,13,133,92
