"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","POKRET ZA NAŠ GRAD","MILE GOLIJAN - NEZAVISNI KANDIDAT",NS,"SRS-SRPSKA U SIGURNE RUKE","UJEDINJENA SRPSKA"
123B001,0,123,43,29,74,213,16,12,19,57,20
123B002,0,102,49,36,52,194,36,34,19,54,8
123B003,0,34,28,8,7,82,6,10,7,35,16
123B004,0,72,42,10,61,111,31,3,20,26,5
123B005,0,36,2,5,22,35,0,5,2,5,0
123B006,0,9,20,2,5,33,0,3,0,8,0
123B007,55,26,14,0,2,52,0,0,1,6,1
123B008,3,11,0,0,2,61,2,15,9,3,2
123B009,0,7,7,0,2,17,0,4,9,4,2
Ukupno,58,420,205,90,227,798,91,86,86,198,54
