"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","HKDU BIH","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","HRVATSKA ČISTA STRANKA PRAVA BOSNE I HERCEGOVINE","HRS-HRVATSKA REPUBLIKANSKA STRANKA","HRVATSKA STRANKA PRAVA-PRAVAŠI","DRAGAN ŠIMUNOVIĆ - NEZAVISNI KANDIDAT","BOŽO DRMIĆ - NEZAVISNI KANDIDAT","KOALICIJA HDZ 1990 - HSS STJEPANA RADIĆA","ZAJEDNO ZA TOMISLAVGRAD-HNL, HSP BIH, HS HKDU-HRAST"
124A001,0,3,13,96,34,5,2,5,4,1,36,43
124A002,9,2,17,93,18,3,5,2,3,1,23,41
124A003,0,0,22,91,11,2,7,10,1,1,31,35
124A004,0,0,2,50,0,5,1,6,0,1,2,9
124A005A,3,0,9,65,4,8,2,11,2,0,43,117
124A005B,8,1,4,85,5,10,0,3,3,0,34,153
124A006,0,3,2,126,0,2,3,10,1,1,58,28
124A007,0,0,16,134,30,31,36,9,1,0,68,11
124A008,0,1,1,80,0,0,3,8,0,0,56,4
124A009,0,0,2,112,0,7,6,7,3,0,10,27
124A010,0,0,0,127,0,2,0,50,0,0,23,53
124A011,2,6,27,102,99,11,0,12,3,0,23,32
124A012,0,0,14,132,0,50,5,9,0,53,16,17
124A013,0,2,18,103,0,22,3,2,2,6,5,26
124A014,0,0,0,85,0,1,0,22,0,0,9,33
124A015,1,0,7,74,2,1,4,4,4,3,34,39
124A016,5,1,37,91,44,9,2,11,11,2,46,54
124A017,0,3,3,163,0,7,34,15,4,0,38,72
124A018,0,1,3,241,0,8,54,10,6,0,19,41
124A019,0,0,73,77,45,9,8,9,0,0,87,22
124A020,0,1,11,169,0,4,2,23,0,0,34,71
124A021,0,0,0,52,0,4,0,7,0,0,38,61
124A022,0,0,2,60,0,6,2,11,0,9,4,36
124A023,3,2,17,106,42,5,2,8,12,1,54,47
124A024,0,1,11,77,11,2,1,10,4,2,56,46
124A025,1,5,13,103,71,7,11,19,3,0,70,34
124A026,0,0,0,167,0,0,4,5,1,0,51,7
124A027,0,5,2,159,0,8,1,5,0,0,10,7
124A028,0,8,0,79,0,0,0,5,0,0,3,20
124A029,2,0,26,37,63,0,0,2,0,0,19,17
Ukupno,34,45,352,3136,479,229,198,310,68,81,1000,1203
