"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDA-STRANKA DEMOKRATSKE AKCIJE","HRVATSKA DEMOKRATSKA UNIJA BIH","HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","HRVATSKA STRANKA PRAVA DR ANTE STARČEVIĆ BOSNE I HERCEGOVINE","SBB - FAHRUDIN RADONČIĆ","HRVATSKA STRANKA PRAVA HERCEG-BOSNE","HSS STJEPANA RADIĆA","DEMOKRATSKA FRONTA","PRVA STRANKA","HRVATSKI SAVEZ HKDU - HRAST","MARKO BAREŠIĆ - NEZAVISNI KANDIDAT","LISTA ZA PROZOR","HDZ BIH, HSP BIH, RDS-KOALICIJA HRVATSKIH STRANAKA"
125A001,4,82,1,126,0,0,0,21,18,0,2,6,44,110
125A002,0,19,0,227,0,0,1,19,6,0,2,12,13,174
125A003,5,107,1,55,0,2,0,4,34,0,1,9,127,60
125A004,0,22,0,78,0,0,1,8,9,0,0,7,28,51
125A005,0,10,0,24,0,0,0,0,3,0,0,11,10,7
125A006,0,3,0,134,0,0,0,1,1,0,0,2,0,101
125A007,0,0,0,17,0,0,0,0,0,0,0,2,0,11
125A008,0,2,0,10,0,0,1,0,0,0,0,0,0,16
125A009,0,0,1,223,0,0,0,4,0,0,0,1,1,153
125A010,1,56,0,18,0,0,0,4,32,1,0,4,35,15
125A011,0,1,0,175,0,0,0,3,0,0,0,6,0,152
125A012,0,33,0,58,1,0,0,0,8,0,0,0,10,41
125A013,5,44,0,0,0,3,0,0,4,0,0,0,54,0
125A014,21,41,0,0,0,1,0,0,5,0,0,0,46,0
125A015,10,3,0,47,0,0,0,30,1,0,2,28,2,38
125A016,3,5,0,12,0,0,0,18,0,0,1,10,5,47
125A017A,0,0,0,147,0,0,0,1,0,0,0,1,0,183
125A017B,0,0,0,162,0,0,0,0,1,0,0,3,2,166
125A018,4,12,0,131,0,1,0,0,1,0,0,1,7,83
125A019,0,0,1,131,0,0,3,0,0,0,0,0,2,117
125A020,0,3,0,178,0,0,0,11,6,0,0,3,22,125
125A021,0,9,0,173,0,0,0,1,13,0,0,3,4,99
125A022,4,12,0,0,0,0,0,0,1,0,0,0,1,2
125A023,0,0,0,104,0,0,0,2,1,0,0,8,1,54
125A024,0,16,0,9,0,0,0,0,16,0,0,4,0,17
125A025,2,82,0,32,0,1,0,0,9,0,0,4,66,56
125A026,1,41,0,48,0,0,0,1,2,0,0,0,28,41
125A027,9,19,0,36,0,0,0,0,0,0,0,0,23,2
125A028,4,15,0,0,0,12,0,0,5,0,0,0,41,0
125A029,1,33,0,0,0,0,0,0,9,0,0,0,36,0
125A030,4,18,0,0,0,0,0,0,11,0,0,0,0,0
125A031,2,27,0,104,0,0,0,11,3,0,3,12,16,106
125A032,2,15,0,0,0,0,0,0,0,0,0,0,4,0
Ukupno,82,730,4,2459,1,20,6,139,199,1,11,137,628,2027
