"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","NARODNA STRANKA RADOM ZA BOLJITAK","SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI",SPR-BIH,"SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","KENAN BAJIĆ - NEZAVISNI KANDIDAT","ALDIN RAMIĆ - NEZAVISNI KANDIDAT","KOALICIJA ZA KONJIC-HDZBIH-HDZ1990-HDUBIH"
127A000,0,0,0,0,0,0,0,0,0,0,0,0,0
127A001,15,36,76,94,0,24,9,0,62,5,1,0,5
127A002,42,52,85,136,0,52,6,0,80,4,0,0,7
127A003,13,19,39,107,0,30,3,1,38,2,0,1,8
127A004,31,46,129,132,0,25,4,0,58,9,0,0,3
127A005,34,28,74,81,0,16,1,1,52,7,0,4,6
127A006,22,28,103,98,0,22,6,0,46,14,0,0,12
127A007,32,48,129,72,0,24,0,0,36,5,0,0,9
127A008,30,29,119,150,0,31,2,0,93,3,0,0,6
127A009,14,19,94,70,0,9,6,0,46,7,1,0,11
127A010,13,19,52,89,0,5,3,0,60,1,0,0,29
127A011,6,9,4,9,0,3,1,0,14,0,0,0,23
127A012A,10,36,56,123,0,0,1,0,76,5,0,0,4
127A012B,9,30,53,142,0,6,6,0,82,7,0,0,8
127A013,6,86,28,61,0,4,7,0,73,9,0,0,0
127A014,11,5,10,122,0,4,0,0,4,0,0,1,0
127A015,15,33,27,154,0,1,3,0,82,0,0,0,3
127A016,4,6,34,70,0,3,2,0,35,3,0,0,0
127A017,0,1,7,0,0,4,0,0,2,0,0,0,0
127A018,23,34,69,241,0,11,3,0,74,13,0,1,17
127A019,6,9,3,90,0,0,0,0,47,0,0,0,0
127A020,11,80,8,174,0,3,1,0,91,0,0,0,1
127A021,12,14,3,37,0,3,1,0,60,0,0,0,0
127A022,27,19,15,61,0,0,1,0,82,1,0,0,1
127A023,36,49,49,212,0,13,3,0,112,4,0,0,0
127A024,10,5,27,51,0,5,1,0,22,5,0,0,7
127A025,26,22,30,165,1,5,3,0,36,3,0,0,0
127A026,44,28,37,126,1,4,8,0,73,2,0,0,2
127A027,33,42,15,127,0,3,1,0,103,5,0,1,0
127A028,37,7,5,100,0,1,1,0,29,1,0,0,0
127A029,4,0,3,75,0,2,0,0,19,1,0,0,2
127A030,8,25,42,57,0,11,10,0,59,10,0,1,2
127A031,9,26,7,71,0,0,0,0,49,4,0,0,0
127A032,55,18,122,167,1,26,0,0,100,17,1,1,9
127A033,7,20,35,117,1,10,4,1,67,6,0,0,5
127A034,46,53,124,112,0,20,5,0,109,5,0,1,13
127A035,33,43,88,105,0,26,5,1,50,11,0,0,21
127A036,5,12,61,150,0,16,7,0,39,1,0,0,2
127A037,0,0,2,14,0,1,0,0,25,0,0,0,0
127A038,3,2,4,21,0,3,0,0,2,1,0,0,0
127A039,1,6,11,43,0,0,0,0,38,0,0,0,0
127A040,0,5,4,9,0,0,2,0,7,0,0,0,5
127A041,23,3,22,11,0,1,0,0,30,2,0,0,6
127A042,7,24,13,78,0,3,0,2,20,5,1,0,3
127A043,8,0,12,21,0,1,0,0,43,0,0,0,0
127A044,0,0,0,0,0,0,0,0,0,0,0,0,23
127A045,41,28,55,96,0,20,4,0,44,3,0,0,0
127A046,9,9,15,44,1,10,4,0,32,3,0,0,18
127A047,6,8,16,75,0,2,2,0,31,6,0,0,0
127A048,5,5,14,49,0,3,1,0,30,3,0,0,0
127A049,0,3,8,7,0,1,0,0,6,2,0,0,0
127A050,2,5,6,49,0,1,1,0,5,2,0,0,4
127A051,22,17,74,108,0,20,3,0,56,14,0,0,18
Ukupno,866,1151,2118,4573,5,488,131,6,2529,211,4,11,293
