"Biračko Mjesto","BPS-SEFER HALILOVIĆ","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","NAPREDNA DEMOKRATSKA STRANKA BIH","DEMOKRATSKA FRONTA","PRVA STRANKA","GRAĐANSKI SAVEZ (GS)","DEMOKRATSKI BLOK SDU-LDS"
131A001,46,9,30,0,0,101,0,4,0,16,7,53,24,36,7,4,2
131A002,16,3,12,3,0,99,0,8,1,11,9,14,24,10,10,3,3
131A003,33,1,7,2,1,110,0,0,0,1,11,7,1,19,6,0,0
131A004,26,1,1,0,0,98,1,3,1,18,10,11,7,22,17,2,2
131A005,2,18,7,0,0,63,0,13,0,22,9,16,7,5,2,1,0
131A006,14,6,14,0,0,134,0,8,3,19,18,13,2,13,3,2,5
131A007,16,5,13,0,1,109,0,1,1,17,8,12,21,17,11,6,6
131A008,33,16,2,3,0,68,0,6,0,11,12,16,23,14,7,8,0
131A009,6,4,11,1,0,81,0,21,0,7,9,8,7,16,22,0,2
131A010,2,33,41,0,0,161,0,1,0,14,9,21,4,12,23,1,5
131A011,16,58,23,1,0,145,0,1,0,10,8,21,3,40,15,0,2
131A012,4,7,14,0,0,102,0,4,0,12,1,7,4,9,16,3,0
131A013,3,20,11,1,0,96,2,1,0,12,5,10,7,16,7,1,8
131A014,7,45,17,0,1,87,0,1,0,8,8,31,21,41,11,1,3
131A015,0,32,11,0,0,147,0,4,1,16,12,41,5,29,8,4,2
131A016,5,17,20,0,0,185,0,3,0,8,5,14,9,13,19,6,1
